"Matching.Attribute","Matching.Attribute.1","name","nms.score.avg","nms.score.EE","nms.score.RE","selected","shared name"
"PPIG","PPIG","PPIG","1.84547244094488E-4","3.69094488188976E-4","0.0","false","PPIG"
"SLC49A4","SLC49A4","SLC49A4","2.15305118110236E-4","4.30610236220472E-4","0.0","false","SLC49A4"
"PARP9","PARP9","PARP9","0.00953135150635305","0.0190627030127061","0.0","false","PARP9"
"CCNG2","CCNG2","CCNG2","0.0120862966495676","0.0241725932991352","0.0","false","CCNG2"
"POC1B","POC1B","POC1B","0.0","0.0","0.0","false","POC1B"
"NAA30","NAA30","NAA30","0.0","0.0","0.0","false","NAA30"
"ADAMTS17","ADAMTS17","ADAMTS17","4.921259842519685E-4","9.84251968503937E-4","0.0","false","ADAMTS17"
"OSBPL1A","OSBPL1A","OSBPL1A","4.306102362204725E-4","8.61220472440945E-4","0.0","false","OSBPL1A"
"SMAD4","SMAD4","SMAD4","0.00456715733168324","0.00913431466336648","0.0","false","SMAD4"
"ADAMTS10","ADAMTS10","ADAMTS10","4.921259842519685E-4","9.84251968503937E-4","0.0","false","ADAMTS10"
"ZNF514","ZNF514","ZNF514","3.075787401574805E-4","6.15157480314961E-4","0.0","false","ZNF514"
"IL17RD","IL17RD","IL17RD","0.0","0.0","0.0","false","IL17RD"
"LRIG1","LRIG1","LRIG1","1.5378937007874E-4","3.0757874015748E-4","0.0","false","LRIG1"
"SSBP2","SSBP2","SSBP2","0.0","0.0","0.0","false","SSBP2"
"ARHGAP18","ARHGAP18","ARHGAP18","9.2273622047244E-5","1.84547244094488E-4","0.0","false","ARHGAP18"
"ASB15","ASB15","ASB15","0.002657424007639775","0.00531484801527955","0.0","false","ASB15"
"UHRF2","UHRF2","UHRF2","0.001697806492008865","0.00339561298401773","0.0","false","UHRF2"
"DLG2","DLG2","DLG2","3.690944881889765E-4","7.38188976377953E-4","0.0","false","DLG2"
"UBC","UBC","UBC","0.0122982234816022","0.0245964469632044","0.0","false","UBC"
"THRB","THRB","THRB","1.84547244094488E-4","3.69094488188976E-4","0.0","false","THRB"
"AKAP6","AKAP6","AKAP6","1.5378937007874E-4","3.0757874015748E-4","0.0","false","AKAP6"
"CACUL1","CACUL1","CACUL1","0.00488423777905908","0.00976847555811816","0.0","false","CACUL1"
"SLC25A28","SLC25A28","SLC25A28","0.0","0.0","0.0","false","SLC25A28"
"SH3RF2","SH3RF2","SH3RF2","1.84547244094488E-4","3.69094488188976E-4","0.0","false","SH3RF2"
"APPL1","APPL1","APPL1","0.0061070926323781","0.0122141852647562","0.0","false","APPL1"
"RADIL","RADIL","RADIL","4.921259842519685E-4","9.84251968503937E-4","0.0","false","RADIL"
"TPRG1L","TPRG1L","TPRG1L","2.46062992125984E-4","4.92125984251968E-4","0.0","false","TPRG1L"
"GDPD5","GDPD5","GDPD5","0.0","0.0","0.0","false","GDPD5"
"SIM2","SIM2","SIM2","6.1515748031496E-5","1.23031496062992E-4","0.0","false","SIM2"
"RGS12","RGS12","RGS12","0.001882353736103355","0.00376470747220671","0.0","false","RGS12"
"DVL3","DVL3","DVL3","0.0","0.0","0.0","false","DVL3"
"RACGAP1","RACGAP1","RACGAP1","6.1515748031496E-5","1.23031496062992E-4","0.0","false","RACGAP1"
"DHRS3","DHRS3","DHRS3","0.004649858862361055","0.00929971772472211","0.0","false","DHRS3"
"KLHDC9","KLHDC9","KLHDC9","6.1515748031496E-4","0.00123031496062992","0.0","false","KLHDC9"
"TMOD4","TMOD4","TMOD4","2.15305118110236E-4","4.30610236220472E-4","0.0","false","TMOD4"
"PBRM1","PBRM1","PBRM1","3.075787401574805E-4","6.15157480314961E-4","0.0","false","PBRM1"
"OTUD4","OTUD4","OTUD4","0.01868269974697955","0.0373653994939591","0.0","false","OTUD4"
"TXLNB","TXLNB","TXLNB","0.0064583796239964","0.0129167592479928","0.0","false","TXLNB"
"UBTD1","UBTD1","UBTD1","1.5378937007874E-4","3.0757874015748E-4","0.0","false","UBTD1"
"ZNF319","ZNF319","ZNF319","0.0","0.0","0.0","false","ZNF319"
"SLC43A2","SLC43A2","SLC43A2","0.004785840735869115","0.00957168147173823","0.0","false","SLC43A2"
"PCMTD1","PCMTD1","PCMTD1","0.0","0.0","0.0","false","PCMTD1"
"ADPRM","ADPRM","ADPRM","2.46062992125984E-4","4.92125984251968E-4","0.0","false","ADPRM"
"DENND5B","DENND5B","DENND5B","0.0103700495099795","0.020740099019959","0.0","false","DENND5B"
"MCC","MCC","MCC","1.84547244094488E-4","3.69094488188976E-4","0.0","false","MCC"
"ANO5","ANO5","ANO5","0.0","0.0","0.0","false","ANO5"
"BCL2","BCL2","BCL2","0.004478261995711635","0.00895652399142327","0.0","false","BCL2"
"SNTB1","SNTB1","SNTB1","0.00591430998308235","0.0118286199661647","0.0","false","SNTB1"
"PDP2","PDP2","PDP2","1.5378937007874E-4","3.0757874015748E-4","0.0","false","PDP2"
"MSRB3","MSRB3","MSRB3","4.921259842519685E-4","9.84251968503937E-4","0.0","false","MSRB3"
"DENND4A","DENND4A","DENND4A","1.5378937007874E-4","3.0757874015748E-4","0.0","false","DENND4A"
"MLXIP","MLXIP","MLXIP","0.0125202851718637","0.0250405703437274","0.0","false","MLXIP"
"PXMP2","PXMP2","PXMP2","3.690944881889765E-4","7.38188976377953E-4","0.0","false","PXMP2"
"RPS6KA3","RPS6KA3","RPS6KA3","9.2273622047244E-5","1.84547244094488E-4","0.0","false","RPS6KA3"
"ASB8","ASB8","ASB8","2.46062992125984E-4","4.92125984251968E-4","0.0","false","ASB8"
"MRFAP1L1","MRFAP1L1","MRFAP1L1","0.002005385232166345","0.00401077046433269","0.0","false","MRFAP1L1"
"H2AC6","H2AC6","H2AC6","0.00259590825960828","0.00519181651921656","0.0","false","H2AC6"
"MOB2","MOB2","MOB2","9.2273622047244E-5","1.84547244094488E-4","0.0","false","MOB2"
"PPP1R2","PPP1R2","PPP1R2","0.00255902696444981","0.00511805392889962","0.0","false","PPP1R2"
"SLC24A3","SLC24A3","SLC24A3","0.0","0.0","0.0","false","SLC24A3"
"SMYD3","SMYD3","SMYD3","0.00591430998308235","0.0118286199661647","0.0","false","SMYD3"
"STAC3","STAC3","STAC3","0.00214028839260979","0.00428057678521958","0.0","false","STAC3"
"RTN4RL2","RTN4RL2","RTN4RL2","0.0","0.0","0.0","false","RTN4RL2"
"B3GLCT","B3GLCT","B3GLCT","0.00296500274779726","0.00593000549559452","0.0","false","B3GLCT"
"EIF4EBP1","EIF4EBP1","EIF4EBP1","3.383366141732285E-4","6.76673228346457E-4","0.0","false","EIF4EBP1"
