assay	feature_id	logFC	CI.L	CI.R	logLik	t	AveExpr	p_value	adj_p_value	contrast	full_model
metab-u-hilicpos	PE 40:6	-0.454736731744428	-0.582200061239604	-0.327273402249253	-289.084247719384	-7.03238592219837	17.444032978888	2.73270500155915e-11	4.72700268063425e-09	SexMale	~ Sex
metab-u-hilicpos	Alloisoleucine	-0.870994857331498	-1.11763171756261	-0.624357997100383	-261.705925982545	-6.96122267354327	14.7292871549447	4.12838662064127e-11	4.72700268063425e-09	SexMale	~ Sex
metab-u-hilicpos	N-Acetylglutamic acid	-0.828695176054406	-1.07859639248562	-0.578793959623188	-182.146347872944	-6.53663686555029	19.8680551532536	4.59125215665369e-10	3.50465581291231e-08	SexMale	~ Sex
metab-u-hilicpos	C1-DeoxyCer 18:0;O/24:1	0.875909933373392	0.586237866364898	1.16558200038189	-210.465079687257	5.96047336373686	17.2006362681603	1.03402129372466e-08	5.91977190657366e-07	SexMale	~ Sex
metab-u-hilicpos	sn-Glycero-3-phosphocholine	-0.719370168666348	-0.980882395494434	-0.457857941838262	-124.016036104705	-5.42235994957589	27.8351168806904	1.59182972615231e-07	7.29058014577758e-06	SexMale	~ Sex
metab-u-hilicpos	SM 18:1;O2/14:1	-0.550650761241915	-0.769115841667401	-0.332185680816429	-412.34750843105	-4.9684638384397	19.5051926699201	1.38604214663738e-06	5.29006085966598e-05	SexMale	~ Sex
metab-u-hilicpos	PE P-38:6 or PE O-38:7	-0.323996519664947	-0.454595685810577	-0.193397353519318	-250.408365819425	-4.890213940569	20.2005556249078	1.98527247994918e-06	6.49467711297661e-05	SexMale	~ Sex
metab-u-hilicpos	PE 38:6	-0.44823607122852	-0.630515268786744	-0.265956873670297	-225.83492832491	-4.84727448638829	17.9892466148588	2.41369159162211e-06	6.90919218101828e-05	SexMale	~ Sex
metab-u-hilicpos	SM 18:1;O2/22:2	-0.394564534277369	-0.569224908583019	-0.21990415997172	-386.183128253074	-4.45298854129623	20.8241136114826	1.36763015001274e-05	0.000347985893725465	SexMale	~ Sex
metab-u-hilicpos	PC 36:5	-0.233732710984046	-0.3385281116656	-0.128937310302492	-342.539744484468	-4.3964809140336	22.1684302885506	1.7378778041341e-05	0.000375542045448024	SexMale	~ Sex
metab-u-hilicpos	Sphinganine	-0.311656295456297	-0.451670867600403	-0.17164172331219	-264.95864153977	-4.38763593541688	15.8124312494656	1.80391375542719e-05	0.000375542045448024	SexMale	~ Sex
metab-u-hilicpos	PE 36:4	-0.252058099222184	-0.368642486935865	-0.135473711508503	-200.747836206831	-4.26175205305327	20.2896729515017	3.04834332477443e-05	0.000561554608754763	SexMale	~ Sex
metab-u-hilicpos	Creatine	-0.379165047921671	-0.554988556728205	-0.203341539115137	-254.939886828424	-4.2508841777353	21.2197399937834	3.18786459118424e-05	0.000561554608754763	SexMale	~ Sex
metab-u-hilicpos	Glutamic acid	-0.34832105919298	-0.514927597662779	-0.18171452072318	-340.426893438227	-4.12112330929466	17.2305739677342	5.40324071879889e-05	0.000883815803289247	SexMale	~ Sex
