assay	feature_id	logFC	CI.L	CI.R	logLik	t	AveExpr	p_value	adj_p_value	contrast	full_model
metab-u-lrppos	TG 54:8	-0.62306279933621	-0.839943066299038	-0.406182532373383	-160.32823737184	-5.66284431036673	21.4200994812693	4.78398944967818e-08	6.50622565156232e-06	SexMale	~ Sex
metab-u-lrppos	TG 10:0_18:2_22:5	-0.736733058104666	-1.0130166588495	-0.460449457359832	-92.5083812607614	-5.2562727033894	18.6593091063655	3.56327546690864e-07	2.31487908324793e-05	SexMale	~ Sex
metab-u-lrppos	TG 58:11	-0.708224851605607	-0.977672177340172	-0.438777525871043	-208.462123771482	-5.18107791378802	18.0982373267157	5.10635091892925e-07	2.31487908324793e-05	SexMale	~ Sex
metab-u-lrppos	TG 50:6	-0.457722133989298	-0.642975381758835	-0.272468886219761	-215.246414537181	-4.87033598288089	22.8030554876028	2.17079898707329e-06	7.3807165560492e-05	SexMale	~ Sex
metab-u-lrppos	TG 10:0_18:2_20:4	-0.591812972180073	-0.842105428234176	-0.34152051612597	-92.3581963322723	-4.66079025536873	19.1549681494806	5.55103427133439e-06	0.000144308133636999	SexMale	~ Sex
metab-u-lrppos	TG 58:10	-0.553299065093936	-0.788878703264699	-0.317719426923173	-122.997370580427	-4.62961658112653	21.571975493465	6.36653530751465e-06	0.000144308133636999	SexMale	~ Sex
metab-u-lrppos	TG 36:0	-1.50121622184296	-2.15172746189937	-0.850704981786543	-146.097840085834	-4.5489512479586	19.9512752160724	9.04824168770316e-06	0.000175794409932518	SexMale	~ Sex
metab-u-lrppos	TG 48:4	-0.423627135519355	-0.610584137269905	-0.236670133768805	-114.462963041117	-4.46647466961426	22.5951198824796	1.28998123371799e-05	0.000219296809732059	SexMale	~ Sex
metab-u-lrppos	TG 10:0_12:0_18:2	-0.705210672008743	-1.01951115128128	-0.390910192736207	-219.421315482968	-4.42279358945229	21.2219795272396	1.5534616549441e-05	0.000234745316747108	SexMale	~ Sex
metab-u-lrppos	DG 18:2_18:3	-0.594332189225761	-0.862316602427389	-0.326347776024133	-211.447879016537	-4.37162153214597	17.2168379488764	1.92798124109988e-05	0.000262205448789583	SexMale	~ Sex
metab-u-lrppos	TG 44:4	-0.666805956660401	-0.970772688002456	-0.362839225318346	-183.788929262575	-4.32410524937812	19.9798374120481	2.35216842409267e-05	0.000290813550615094	SexMale	~ Sex
metab-u-lrppos	PC 36:2	-0.329156153500049	-0.482282336092131	-0.176029970907967	-128.819747619169	-4.23716485693804	21.0609427366901	3.37012631210852e-05	0.000379498098143937	SexMale	~ Sex
metab-u-lrppos	TG 42:2	-0.526523649535487	-0.772509617555225	-0.28053768151575	-168.487352701256	-4.21920267428213	24.2286330482502	3.62755534990528e-05	0.000379498098143937	SexMale	~ Sex
metab-u-lrppos	TG 44:3	-0.552634069071792	-0.812893252559034	-0.29237488558455	-253.273702892046	-4.18556827849395	23.8402696809493	4.16099870924918e-05	0.000404211303184206	SexMale	~ Sex
metab-u-lrppos	TG 10:0_18:2_18:2	-0.481202960049326	-0.714955356767769	-0.247450563330883	-274.094053591445	-4.05784128595391	23.4307591753164	6.95282329619796e-05	0.000597413982435952	SexMale	~ Sex
metab-u-lrppos	DG 34:4	-0.426490460950958	-0.633854065147336	-0.21912685675458	-228.768357859654	-4.05414827222729	19.0176110911579	7.0555285440053e-05	0.000597413982435952	SexMale	~ Sex
metab-u-lrppos	TG 4:0_14:0_16:0	-1.29467587486247	-1.92639092397504	-0.662960825749894	-114.332176586649	-4.03982610421367	19.1340840070326	7.4676747804494e-05	0.000597413982435952	SexMale	~ Sex
metab-u-lrppos	DG 16:0_16:1	-0.399567696917377	-0.596577084006875	-0.202558309827879	-154.268789324891	-3.99784810410219	19.9210681118739	8.81185990507321e-05	0.000665784970605532	SexMale	~ Sex
metab-u-lrppos	TG 52:0	0.545817359740881	0.273950978190573	0.817683741291189	-154.65800819907	3.95744307167155	23.5604674660973	0.000103208226330922	0.000738753620052917	SexMale	~ Sex
metab-u-lrppos	TG 44:2	-0.381152067582748	-0.572301658610063	-0.190002476555432	-273.499031722235	-3.930499502334	26.3258209819715	0.000114602490411006	0.000779296934794838	SexMale	~ Sex
metab-u-lrppos	DG 16:0_18:1	-0.260117100846702	-0.392697076704442	-0.127537124988962	-113.825786034919	-3.86735293932118	22.7867835231604	0.000146167245373174	0.000946606922416744	SexMale	~ Sex
metab-u-lrppos	TG 4:0_18:1_18:2	-0.927154427286631	-1.41306081005516	-0.441248044518098	-455.71069885664	-3.76116435312531	20.0694144991496	0.000218553136065557	0.00135105575022344	SexMale	~ Sex
metab-u-lrppos	TG 48:5	-0.375227900366223	-0.573616251290507	-0.176839549441939	-461.905749586905	-3.72822225529949	23.6001300922082	0.000247169320119185	0.00146152293635692	SexMale	~ Sex
metab-u-lrppos	TG 40:1	-0.817643429428717	-1.25424389443201	-0.381042964425419	-279.901849266689	-3.69149764764258	20.9489582478759	0.000283231325950996	0.00160497751372231	SexMale	~ Sex
metab-u-lrppos	TG 43:2	-0.502771762655456	-0.773283796749677	-0.232259728561235	-377.59980893524	-3.66359221118344	20.6423956187961	0.000313893808546713	0.00170758231849412	SexMale	~ Sex
