assay	feature_id	logFC	CI.L	CI.R	logLik	t	AveExpr	p_value	adj_p_value	contrast	full_model
metab-t-amines	Phosphoethanolamine	-0.0433430558342073	-0.0664627336642985	-0.0202233780041161	1094.74618273367	-3.6973838611875	0.23756289938703	0.000283219959213884	0.00254897963292496	SexMale	~ Sex
metab-t-amines	beta-Alanine	0.0011287160208605	1.73452637379835e-05	0.00224008677798303	927.955292985891	2.00300722588139	0.00854746525279529	0.0465638610549649	0.159350047985287	SexMale	~ Sex
metab-t-amines	Aminoadipic acid	-0.00028099998804431	-0.00056581388599026	3.81390990164142e-06	505.32154712416	-1.94581665208654	0.00129617087855722	0.0531166826617623	0.159350047985287	SexMale	~ Sex
metab-t-amines	Homocysteine	-0.000701383721569544	-0.00172136580265197	0.000318598359512886	827.429491798271	-1.35618810772731	0.0180795307489709	0.176610439213082	0.397373488229434	SexMale	~ Sex
metab-t-amines	Asparagine	-0.00305111620977388	-0.00879906826260358	0.00269683584305583	1345.42166532626	-1.04689326124708	0.0318804558826946	0.296447072617731	0.533604730711916	SexMale	~ Sex
metab-t-amines	Ethanolamine	-0.000288255376308698	-0.00105804544861011	0.00048153469599271	950.421774474561	-0.73851938975428	0.00621447906568273	0.461088430649188	0.681701972308251	SexMale	~ Sex
metab-t-amines	Cysteine	-0.00016221159531985	-0.000755838079510104	0.000431414888870404	899.441876393583	-0.53892138715266	0.00289500524312739	0.590556944620386	0.681701972308251	SexMale	~ Sex
metab-t-amines	Aminoisobutyric acid	-2.13785940204729e-05	-0.000102981133634984	6.02239455940383e-05	844.254117847076	-0.516692618212134	0.000195738288448628	0.605957308718446	0.681701972308251	SexMale	~ Sex
metab-t-amines	2-Aminobutyric acid	-0.000128888882744034	-0.00079453424548886	0.000536756480000791	232.519681388037	-0.381882133420014	0.00364595584910759	0.702965379260098	0.702965379260098	SexMale	~ Sex
