feature_id	gene_symbol	chromosome_name	logFC	CI.L	CI.R	logLik	t	AveExpr	p_value	adj_p_value	contrast	full_model	assay	entrez_gene	ensembl_gene	custom_annotation	relationship_to_gene	uniprot	refmet_name	kegg_id	flanking_sequence
Q6PCB8	EMB	5	0.0101403172436175	-0.555123152990724	0.575403787477959	18.5171049079941	0.0376906475690073	0.0147725268971198	0.970349508404307	0.986886665731596	SexMale	~ Sex	prot-pr	133418	ENSG00000170571	NA	NA	Q6PCB8	NA	NA	NA
Q96FZ2	HMCES	3	-0.00287654934981579	-0.164743995349821	0.158990896650189	18.0078861342312	-0.0367633303945068	0.046984382932444	0.970991117635598	0.987329799435867	SexMale	~ Sex	prot-pr	56941	ENSG00000183624	NA	NA	Q96FZ2	NA	NA	NA
P17544	ATF7	12	-0.00460486789834237	-0.264162541294287	0.254952805497602	-3.185313778758	-0.0367016708297814	0.0312483312294047	0.97103974860733	0.987329799435867	SexMale	~ Sex	prot-pr	11016	ENSG00000170653	NA	NA	P17544	NA	NA	NA
Q06330	RBPJ	4	-0.00208945173687821	-0.122234479277933	0.118055575804177	13.127539961451	-0.0359773420523138	-0.503489131175406	0.971611036118222	0.987781210615275	SexMale	~ Sex	prot-pr	3516	ENSG00000168214	NA	NA	Q06330	NA	NA	NA
Q96AT1	KIAA1143	3	-0.00290817454709836	-0.172095414907548	0.166279065813351	15.7445506340402	-0.0355594794627746	0.194464388082408	0.971940616853689	0.987986806282877	SexMale	~ Sex	prot-pr	57456	ENSG00000281665	NA	NA	Q96AT1	NA	NA	NA
Q9H0R3	TMEM222	1	0.00674037172201789	-0.419669770617877	0.433150514061913	-5.77126141873104	0.0357665598804987	-0.995127679976437	0.972250362293544	0.988172187956677	SexMale	~ Sex	prot-pr	84065	ENSG00000186501	NA	NA	Q9H0R3	NA	NA	NA
Q8TDS4	HCAR2	12	-0.00933190720816163	-0.587531480759157	0.568867666342834	1.67094706458684	-0.0348711096937814	0.731047931220671	0.972712806383182	0.988512700015814	SexMale	~ Sex	prot-pr	338442	ENSG00000182782	NA	NA	Q8TDS4	NA	NA	NA
P50613	CDK7	5	-0.00214390624459073	-0.134638839614187	0.130351027125005	17.1911840375554	-0.0344917456785513	0.487265885949828	0.972940232199228	0.988605876200182	SexMale	~ Sex	prot-pr	1022	ENSG00000277273	NA	NA	P50613	NA	NA	NA
Q8WTW3	COG1	17	-0.00232157745313185	-0.142993654279497	0.138350499373233	NA	-0.0341411236525277	-0.105069248880906	0.973059354300669	0.988605876200182	SexMale	~ Sex	prot-pr	9382	ENSG00000166685	NA	NA	Q8WTW3	NA	NA	NA
Q96E09	PABIR1	9	0.00189789602408915	-0.116560545836585	0.120356337884763	10.1246481690228	0.0333200676329284	-0.0806599316735868	0.973734222919983	0.989161987876552	SexMale	~ Sex	prot-pr	116224	ENSG00000187866	NA	NA	Q96E09	NA	NA	NA
P05783	KRT18	12	-0.00307169319251941	-0.195890708433567	0.189747322048528	0.623371149522232	-0.032955697452066	-1.0632643390279	0.973994410455195	0.989296757830767	SexMale	~ Sex	prot-pr	3875	ENSG00000111057	NA	NA	P05783	NA	NA	NA
P13796	LCP1	13	0.0056002234747046	-0.347865037873251	0.35906548482266	1.76306781768215	0.032776392561747	-1.93639231823399	0.974135848290279	0.989310892922632	SexMale	~ Sex	prot-pr	3936	ENSG00000136167	NA	NA	P13796	NA	NA	NA
O60437	PPL	16	-0.00411657386612087	-0.265301576810272	0.25706842907803	15.0751106616251	-0.032605450765925	0.147952830216159	0.974270690024402	0.989318326336297	SexMale	~ Sex	prot-pr	5493	ENSG00000118898	NA	NA	O60437	NA	NA	NA
A1L4H1	SSC5D	19	0.00426142361256316	-0.271234113931216	0.279756961156342	9.64355712871727	0.031999461645238	-2.04583120453581	0.97474871062001	0.989674191465782	SexMale	~ Sex	prot-pr	284297	ENSG00000179954	NA	NA	A1L4H1	NA	NA	NA
P23469	PTPRE	10	0.00514108373490221	-0.33465511019145	0.344937277661254	NA	0.0314655727652246	-1.41875739498115	0.975195576911552	0.989912979926563	SexMale	~ Sex	prot-pr	5791	ENSG00000132334	NA	NA	P23469	NA	NA	NA
O95159	ZFPL1	11	0.00328847779991683	-0.213519276064577	0.220096231664411	8.57941687014593	0.0313778105584414	-0.668405848887285	0.975239095846703	0.989912979926563	SexMale	~ Sex	prot-pr	7542	ENSG00000162300	NA	NA	O95159	NA	NA	NA
Q9UBM1	PEMT	17	-0.00464925905945468	-0.317892536566408	0.308594018447499	NA	-0.0308675002784978	-2.20373454796783	0.97566688121696	0.990113138118672	SexMale	~ Sex	prot-pr	10400	ENSG00000133027	NA	NA	Q9UBM1	NA	NA	NA
P36955	SERPINF1	17	-0.00456665018920906	-0.311249384508351	0.302116084129933	4.64539495007	-0.0308042721182288	-1.12195593689284	0.975691536596706	0.990113138118672	SexMale	~ Sex	prot-pr	5176	ENSG00000132386	NA	NA	P36955	NA	NA	NA
P14927	UQCRB	8	-0.00349548940471541	-0.241767473963678	0.234776495154247	NA	-0.0303485216557886	1.26912906763859	0.976051065238499	0.990348438938043	SexMale	~ Sex	prot-pr	7381	ENSG00000156467	NA	NA	P14927	NA	NA	NA
Q96RY7	IFT140	16	0.00160916121438882	-0.110108574960578	0.113326897389356	NA	0.0297975091652053	-0.1993965179777	0.976485750320262	0.990620662551254	SexMale	~ Sex	prot-pr	9742	ENSG00000187535	NA	NA	Q96RY7	NA	NA	NA
Q15365	PCBP1	2	-0.00163083771595662	-0.11539335714175	0.112131681709836	5.9115994282894	-0.0296561027440291	0.153454455650926	0.976597304826744	0.990620662551254	SexMale	~ Sex	prot-pr	5093	ENSG00000169564	NA	NA	Q15365	NA	NA	NA
P04070	PROC	2	0.00399015496049652	-0.276568072600907	0.2845483825219	10.016723301911	0.0294218031465925	0.449265027621632	0.976782143163816	0.990620662551254	SexMale	~ Sex	prot-pr	5624	ENSG00000115718	NA	NA	P04070	NA	NA	NA
P27448	MARK3	14	0.00144119892941681	-0.100529287699934	0.103411685558768	19.9003794502821	0.0292382901411862	0.173180709643274	0.976926917020863	0.990620662551254	SexMale	~ Sex	prot-pr	4140	ENSG00000075413	NA	NA	P27448	NA	NA	NA
P16333	NCK1	3	-0.00169594089880116	-0.121851348243653	0.118459466446051	7.1564525976546	-0.0291991309632647	0.073558399460265	0.976957809896835	0.990620662551254	SexMale	~ Sex	prot-pr	4690	ENSG00000158092	NA	NA	P16333	NA	NA	NA
