assay	feature_id	logFC	CI.L	CI.R	logLik	t	AveExpr	p_value	adj_p_value	contrast	full_model
metab-t-nuc	UTP	-0.274355605780438	-0.382488519274505	-0.166222692286371	-0.942849436460491	-5.00192763554001	1.53834053672045	1.20476691069912e-06	2.40953382139824e-05	SexMale	~ Sex
metab-t-nuc	CTP	-0.111509643007639	-0.160770742188403	-0.0622485438268742	-80.1109823415626	-4.46261887401506	0.676015420972967	1.32554399781498e-05	0.000132554399781498	SexMale	~ Sex
metab-t-nuc	GTP	-0.184805582270538	-0.287301178033207	-0.0823099865078697	227.239256383623	-3.55460503676002	1.72920825500049	0.000468474637936064	0.00312316425290709	SexMale	~ Sex
metab-t-nuc	UDP-galactose	-0.198461033322252	-0.311774359316852	-0.0851477073276518	84.7514474581994	-3.45283425551307	2.27620637970705	0.000671929305899874	0.00335964652949937	SexMale	~ Sex
metab-t-nuc	ATP	-0.153900274343288	-0.262266683451647	-0.0455338652349282	385.852650831962	-2.79979466761436	5.0450044303801	0.00559480261707211	0.0223792104682884	SexMale	~ Sex
metab-t-nuc	Hypoxanthine	0.172821971956126	0.0370810947485488	0.308562849163703	496.520702849521	2.5099771941367	0.667323767844282	0.012835553790108	0.04278517930036	SexMale	~ Sex
metab-t-nuc	NADP+	-0.0736065242714178	-0.136867182154699	-0.0103458663881367	516.281792396669	-2.29384504679668	0.67797060156757	0.0227977291302205	0.0651363689434872	SexMale	~ Sex
metab-t-nuc	GDP	0.0697915138254989	-0.025708199101936	0.165291226752934	-53.6876829549576	1.44072808791511	0.952437962405208	0.15116458852657	0.377911471316424	SexMale	~ Sex
metab-t-nuc	dATP	0.00799081682122432	-0.00377900666236385	0.0197606403048125	190.958071891088	1.33845167695047	0.044250932281033	0.182209899033008	0.404910886740017	SexMale	~ Sex
metab-t-nuc	S-Adenosylhomocysteine	0.00610556395364059	-0.00362847522757778	0.015839603134859	-68.4672608507145	1.23655707120306	0.0459301024140598	0.217645495324991	0.435290990649982	SexMale	~ Sex
metab-t-nuc	UMP	0.0475424383730911	-0.0336054437080536	0.128690320454236	161.880378932305	1.15500997089425	0.37312872355972	0.249411023430677	0.453474588055775	SexMale	~ Sex
metab-t-nuc	GDP-mannose	-0.0160351999234418	-0.045699001401023	0.0136286015541395	-127.192491687216	-1.06568546792301	0.193638468475993	0.287800865224345	0.479668108707242	SexMale	~ Sex
metab-t-nuc	dCTP	-0.00322343425439776	-0.010277939123329	0.00383107061453345	22.4713975724526	-0.900811143085903	0.0223374248441143	0.368730177043466	0.567277195451486	SexMale	~ Sex
metab-t-nuc	UDP	-0.023901522586507	-0.0853084923614366	0.0375054471884225	32.4296989522269	-0.767342709298593	0.435428394052098	0.443747617656034	0.609755812725565	SexMale	~ Sex
metab-t-nuc	IMP	0.0250605638093596	-0.0412852721048861	0.0914063997236054	462.314995998756	0.744661049037502	0.333231075028447	0.457316859544174	0.609755812725565	SexMale	~ Sex
metab-t-nuc	Guanine	0.0117723736543335	-0.022306940484637	0.0458516877933039	426.486423523358	0.68101184055882	0.112641693770552	0.496621167387705	0.620776459234631	SexMale	~ Sex
metab-t-nuc	Phosphoribosyl pyrophosphate	0.00261121334651626	-0.00563593625534842	0.0108583629483809	38.6496455949368	0.624194524723168	0.0425933165879844	0.533183603845392	0.627274828053403	SexMale	~ Sex
metab-t-nuc	CDP	0.00640703136173631	-0.0185450146511997	0.0313590773746723	-89.4424607420142	0.506211675651411	0.136296996327622	0.613243977340905	0.68138219704545	SexMale	~ Sex
metab-t-nuc	dTTP	-0.00139111315782757	-0.00784452430786964	0.00506229799221451	-19.6403688420045	-0.42496640004106	0.0194697133564331	0.671300301277267	0.706631896081334	SexMale	~ Sex
metab-t-nuc	ADP-ribose	0.00843096926586276	-0.065775450620252	0.0826373891519775	-79.6600654257352	0.223984258468635	0.528812504453972	0.822989323029179	0.822989323029179	SexMale	~ Sex
