"tissue","assay","feature_id","logFC_precawg","CI.L_precawg","CI.R_precawg","adj_p_value_precawg","randomGroupCode","Timepoint","platform","logFC_sex_diff","CI.L_sex_diff","CI.R_sex_diff","adj_p_value_sex_diff","entrez_gene","gene_symbol","ensembl_gene","uniprot","refmet_name","refmet_id","kegg_id"
"blood","transcript-rna-seq","ENSG00000198961.10",0.406042088753949,0.228491623474026,0.583592554033872,0.000169613587394279,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.290679652939648,-0.485608651887344,-0.095750653991952,0.0406563247209853,"9867","PJA2","ENSG00000198961",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000101849.18",0.297892366812711,0.16756409786003,0.428220635765391,0.000171553914606224,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.291822790403913,-0.439735488574237,-0.143910092233589,0.00400046559138018,"6907","TBL1X","ENSG00000101849",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000068383.19",0.381738003213764,0.214634503429659,0.548841502997868,0.000172930671595256,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.293178680537408,-0.473421487093082,-0.112935873981734,0.0211621394366006,"3632","INPP5A","ENSG00000068383",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000112763.17",0.222223678944586,0.124882480317796,0.319564877571375,0.000175491620072068,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.182198636047439,-0.295314791252453,-0.0690824808424252,0.0229204738596045,"11120","BTN2A1","ENSG00000112763",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000111737.12",0.224741402358866,0.126231208738676,0.323251595979056,0.00017688082455462,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.233715648318408,-0.343883309917971,-0.123547986718845,0.00201899505562625,"11021","RAB35","ENSG00000111737",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000166986.15",0.211084195126943,0.118547149445957,0.303621240807928,0.000177476744669482,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.153357538573638,-0.25637337734282,-0.0503416998044559,0.041213066654297,"4141","MARS1","ENSG00000166986",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000182866.17",-0.342914122902134,-0.493275264525681,-0.192552981278588,0.000178019959313217,"ADUResist","post_3.5_4_hr","transcript-rna-seq",0.384042049193237,0.215405602333678,0.552678496052796,0.00112356299638894,"3932","LCK","ENSG00000182866",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000137076.21",0.244068739968812,0.136927896031204,0.35120958390642,0.000181502342544144,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.187704009762776,-0.312305037465272,-0.0631029820602792,0.0378748787367002,"7094","TLN1","ENSG00000137076",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000065615.14",0.362755568579239,0.203405248385577,0.522105888772901,0.000183900522746891,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.319904693016504,-0.497025436008668,-0.14278395002434,0.0090014092670223,"51167","CYB5R4","ENSG00000065615",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000108599.15",0.280489068699883,0.157088679639303,0.403889457760464,0.000188816864841675,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.213234398927696,-0.351059427458798,-0.0754093703965941,0.0314919616538071,"11216","AKAP10","ENSG00000108599",NA,NA,NA,NA
