"collection","database","set_id","set","set_short","set_size","set_size_DB","size_ratio","set_size_in_input","input_size","background_size","p_value","adj_p_value"
"CELLMARKER","CELLMARKER","16427","CELLMARKER_Monocyte Fetal Kidney Human","Monocyte Fetal Kidney",782,796,0.982,374,1591,16972,3.02575861872351e-184,1.9183309642707e-181
"C2","REACTOME","12783","REACTOME_INNATE_IMMUNE_SYSTEM","REACTOME_INNATE_IMMUNE_SYSTEM",960,1125,0.853,293,1591,16972,3.02382277495071e-82,7.50815195020262e-79
"C2","REACTOME","13025","REACTOME_NEUTROPHIL_DEGRANULATION","REACTOME_NEUTROPHIL_DEGRANULATION",459,478,0.96,191,1591,16972,5.12368309855764e-78,6.36105256685931e-75
"C5","GOCC","08790","GOCC_SECRETORY_GRANULE","GOCC_SECRETORY_GRANULE",712,892,0.798,220,1591,16972,6.45729996457683e-62,3.56055520046766e-58
"C5","GOCC","08792","GOCC_SECRETORY_VESICLE","GOCC_SECRETORY_VESICLE",832,1067,0.78,237,1591,16972,1.98640346596906e-59,5.4765143556767e-56
"CELLMARKER","CELLMARKER","15817","CELLMARKER_CD1C-CD141- Dendritic Cell Blood Human","CD1C-CD141- Dendritic Cell Blood",319,321,0.994,132,1591,16972,2.317497320214e-53,7.34646650507837e-51
"CELLMARKER","CELLMARKER","16577","CELLMARKER_Neutrophil Kidney Human","Neutrophil Kidney",76,77,0.987,62,1591,16972,1.13745731185732e-50,2.4038264523918e-48
"CELLMARKER","CELLMARKER","16411","CELLMARKER_Microglial Cell Embryonic Prefrontal Cortex Human","Microglial Cell Embryonic Prefrontal Cortex",451,476,0.947,155,1591,16972,5.25006608736445e-50,8.32135474847266e-48
"C5","GOCC","08791","GOCC_SECRETORY_GRANULE_MEMBRANE","GOCC_SECRETORY_GRANULE_MEMBRANE",274,314,0.873,108,1591,16972,2.46175694252833e-41,4.52470926036707e-38
"C5","GOBP","01330","GOBP_DEFENSE_RESPONSE","GOBP_DEFENSE_RESPONSE",1357,1855,0.732,274,1591,16972,3.19756293580911e-37,4.40784050701286e-34
"C5","GOCC","08943","GOCC_VESICLE_MEMBRANE","GOCC_VESICLE_MEMBRANE",1033,1233,0.838,228,1591,16972,6.6878741979027e-37,7.37538766544709e-34
"C5","GOBP","06098","GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS","GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS",1280,1553,0.824,260,1591,16972,1.11941982923594e-35,1.02874682306783e-32
"C5","GOBP","00649","GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS","GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES...(00649)",1345,1759,0.765,268,1591,16972,2.58483607002484e-35,2.03611229858814e-32
"C5","GOBP","06097","GOBP_REGULATION_OF_IMMUNE_RESPONSE","GOBP_REGULATION_OF_IMMUNE_RESPONSE",795,935,0.85,185,1591,16972,6.10100865372364e-33,4.20512021457902e-30
"C5","GOBP","04674","GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS","GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS",907,1081,0.839,201,1591,16972,1.1064551351024e-32,6.77888179439405e-30
"C5","GOCC","08297","GOCC_FICOLIN_1_RICH_GRANULE","GOCC_FICOLIN_1_RICH_GRANULE",180,185,0.973,77,1591,16972,1.24526901704643e-32,6.86641335999403e-30
"C5","GOBP","01008","GOBP_CELL_ACTIVATION","GOBP_CELL_ACTIVATION",944,1109,0.851,202,1591,16972,1.18632204225127e-30,5.94670885543046e-28
"C2","REACTOME","12416","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM",679,792,0.857,161,1591,16972,1.19311104707823e-29,9.87498243298418e-27
"C5","GOCC","08874","GOCC_TERTIARY_GRANULE","GOCC_TERTIARY_GRANULE",155,164,0.945,67,1591,16972,7.13773237313996e-29,3.27978802545781e-26
"C5","GOCC","08827","GOCC_SPECIFIC_GRANULE","GOCC_SPECIFIC_GRANULE",155,160,0.969,65,1591,16972,3.99218873298233e-27,1.69330220566651e-24
"C5","GOBP","04823","GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS","GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR...(04823)",1241,1684,0.737,233,1591,16972,1.30043367567537e-26,5.12185091976715e-24
"C5","GOBP","01335","GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM","GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM",936,1235,0.758,191,1591,16972,2.97540841692364e-26,1.09376013406113e-23
"C5","GOBP","07865","GOBP_VESICLE_MEDIATED_TRANSPORT","GOBP_VESICLE_MEDIATED_TRANSPORT",1299,1541,0.843,239,1591,16972,5.27182547661782e-26,1.81680285487942e-23
"C5","GOCC","08938","GOCC_VACUOLE","GOCC_VACUOLE",750,853,0.879,164,1591,16972,5.77311149426815e-26,1.87252569290556e-23
"C5","GOBP","02248","GOBP_INNATE_IMMUNE_RESPONSE","GOBP_INNATE_IMMUNE_RESPONSE",759,977,0.777,165,1591,16972,7.97806293020453e-26,2.44394661095265e-23
"C5","GOBP","02548","GOBP_LYMPHOCYTE_ACTIVATION","GOBP_LYMPHOCYTE_ACTIVATION",698,796,0.877,156,1591,16972,8.95909924078998e-26,2.60002490598505e-23
"C5","GOBP","04673","GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE","GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE",636,751,0.847,146,1591,16972,2.1826790772626e-25,6.01764621601299e-23
"C5","GOBP","06936","GOBP_RESPONSE_TO_CYTOKINE","GOBP_RESPONSE_TO_CYTOKINE",731,948,0.771,159,1591,16972,6.35200226617231e-25,1.66785430931781e-22
"C5","GOBP","00534","GOBP_APOPTOTIC_PROCESS","GOBP_APOPTOTIC_PROCESS",1513,1965,0.77,263,1591,16972,8.45849720766873e-25,2.12000698195843e-22
"C5","GOBP","06124","GOBP_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION","GOBP_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION",1410,1795,0.786,249,1591,16972,1.94085250630929e-24,4.65298292164758e-22
"C5","GOBP","02218","GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY","GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY",446,504,0.885,113,1591,16972,1.69333712453177e-23,3.89044204361175e-21
"CELLMARKER","CELLMARKER","16611","CELLMARKER_Paneth Cell Large Intestine Human","Paneth Cell Large Intestine",306,314,0.975,89,1591,16972,4.11742909733432e-23,5.22090009541992e-21
"C5","GOBP","01302","GOBP_CYTOKINE_PRODUCTION","GOBP_CYTOKINE_PRODUCTION",658,883,0.745,144,1591,16972,6.87917980314416e-23,1.51727189738148e-20
"C5","GOCC","08942","GOCC_VESICLE_LUMEN","GOCC_VESICLE_LUMEN",288,326,0.883,85,1591,16972,1.36831351593738e-22,2.90187720264567e-20
"C5","GOBP","06595","GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS",863,1136,0.76,172,1591,16972,1.75714642266436e-22,3.58848347206344e-20
"C2","REACTOME","13508","REACTOME_SIGNALING_BY_INTERLEUKINS","REACTOME_SIGNALING_BY_INTERLEUKINS",400,474,0.844,103,1591,16972,4.47905567922346e-22,2.78037381287797e-19
"C5","GOBP","00339","GOBP_ACTIVATION_OF_IMMUNE_RESPONSE","GOBP_ACTIVATION_OF_IMMUNE_RESPONSE",473,547,0.865,114,1591,16972,8.72245437594125e-22,1.717700479605e-19
"C5","GOBP","02242","GOBP_INFLAMMATORY_RESPONSE","GOBP_INFLAMMATORY_RESPONSE",641,890,0.72,139,1591,16972,9.9978553323721e-22,1.9009715276793e-19
"C2","REACTOME","12773","REACTOME_INFECTIOUS_DISEASE","REACTOME_INFECTIOUS_DISEASE",914,1019,0.897,177,1591,16972,1.07893088017589e-21,5.35797075095346e-19
"C5","GOBP","05863","GOBP_REGULATION_OF_DEFENSE_RESPONSE","GOBP_REGULATION_OF_DEFENSE_RESPONSE",642,823,0.78,138,1591,16972,3.30423936186868e-21,6.07319194711464e-19
"C5","GOBP","07738","GOBP_T_CELL_ACTIVATION","GOBP_T_CELL_ACTIVATION",497,567,0.877,116,1591,16972,6.12920189583594e-21,1.09020707269804e-18
"C5","GOCC","08069","GOCC_CELL_SUBSTRATE_JUNCTION","GOCC_CELL_SUBSTRATE_JUNCTION",393,434,0.906,99,1591,16972,1.62934922672009e-20,2.80757238629205e-18
"C5","GOBP","02216","GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY","GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE...(02216)",310,348,0.891,85,1591,16972,2.73994332417452e-20,4.57819620893888e-18
"CELLMARKER","CELLMARKER","16448","CELLMARKER_Multilymphoid Progenitor Cell Umbilical Cord Blood Human","Multilymphoid Progenitor Cell Umbilical Cord Blood",507,537,0.944,116,1591,16972,3.35213589058964e-20,3.54209025772306e-18
"C5","GOBP","06497","GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH","GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH",1174,1563,0.751,206,1591,16972,7.89329800760452e-20,1.28010721217445e-17
"C5","GOBP","01599","GOBP_ENDOCYTOSIS","GOBP_ENDOCYTOSIS",581,709,0.819,126,1591,16972,9.03297518593993e-20,1.42308071929351e-17
"C5","GOBP","04235","GOBP_PHOSPHORYLATION","GOBP_PHOSPHORYLATION",1279,1596,0.801,219,1591,16972,9.60868740106821e-20,1.47173062026361e-17
"C5","GOBP","04500","GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION",410,500,0.82,100,1591,16972,1.25721188925168e-19,1.84258486463893e-17
"C5","GOCC","08298","GOCC_FICOLIN_1_RICH_GRANULE_LUMEN","GOCC_FICOLIN_1_RICH_GRANULE_LUMEN",123,124,0.992,49,1591,16972,1.26982634849981e-19,1.84258486463893e-17
"C5","GOBP","00319","GOBP_ACTIN_FILAMENT_BASED_PROCESS","GOBP_ACTIN_FILAMENT_BASED_PROCESS",620,809,0.766,131,1591,16972,1.70369509295574e-19,2.39958272961463e-17
"C5","GOCC","08248","GOCC_ENDOSOME","GOCC_ENDOSOME",904,1054,0.858,170,1591,16972,1.74072015205994e-19,2.39958272961463e-17
"CELLMARKER","CELLMARKER","16584","CELLMARKER_Neutrophil Stomach Human","Neutrophil Stomach",31,31,1,24,1591,16972,2.48454206563396e-19,2.25028524230276e-17
"C5","GOCC","07964","GOCC_ANCHORING_JUNCTION","GOCC_ANCHORING_JUNCTION",718,901,0.797,144,1591,16972,3.63275638120797e-19,4.88561431365384e-17
"C5","GOBP","05406","GOBP_PROTEIN_PHOSPHORYLATION","GOBP_PROTEIN_PHOSPHORYLATION",1051,1330,0.79,188,1591,16972,4.91952687593685e-19,6.45863599855138e-17
"C5","GOBP","05007","GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS",491,623,0.788,111,1591,16972,5.94162249057298e-19,7.61909451465568e-17
"C5","GOBP","02228","GOBP_IMPORT_INTO_CELL","GOBP_IMPORT_INTO_CELL",720,936,0.769,143,1591,16972,1.21221268369842e-18,1.51912289498024e-16
"C5","GOBP","00324","GOBP_ACTIN_FILAMENT_ORGANIZATION","GOBP_ACTIN_FILAMENT_ORGANIZATION",377,465,0.811,92,1591,16972,3.66622670300693e-18,4.49234978675115e-16
"C5","GOBP","05735","GOBP_REGULATION_OF_CATALYTIC_ACTIVITY","GOBP_REGULATION_OF_CATALYTIC_ACTIVITY",1188,1497,0.794,202,1591,16972,7.1339483928256e-18,8.55143292131313e-16
"C5","GOBP","06105","GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE","GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE",369,428,0.862,90,1591,16972,8.90434668533003e-18,1.04465037495553e-15
"C5","GOMF","10310","GOMF_PROTEIN_CONTAINING_COMPLEX_BINDING","GOMF_PROTEIN_CONTAINING_COMPLEX_BINDING",1466,1762,0.832,235,1591,16972,1.61617390956898e-17,1.85657977861737e-15
"C5","GOBP","04509","GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE","GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE",393,484,0.812,93,1591,16972,2.07215477177575e-17,2.33180845134111e-15
"C5","GOCC","08626","GOCC_PHAGOCYTIC_VESICLE","GOCC_PHAGOCYTIC_VESICLE",137,142,0.965,49,1591,16972,2.51979627063447e-17,2.7788313272557e-15
"C5","GOMF","09773","GOMF_KINASE_BINDING","GOMF_KINASE_BINDING",672,785,0.856,133,1591,16972,2.894378660917e-17,3.12933410515615e-15
"C5","GOCC","08229","GOCC_ENDOCYTIC_VESICLE","GOCC_ENDOCYTIC_VESICLE",301,348,0.865,78,1591,16972,3.63024978998895e-17,3.84946102730752e-15
"C5","GOBP","05026","GOBP_POSITIVE_REGULATION_OF_SIGNALING","GOBP_POSITIVE_REGULATION_OF_SIGNALING",1338,1795,0.745,218,1591,16972,4.55933677131896e-17,4.74343074661373e-15
"C5","GOBP","04809","GOBP_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION","GOBP_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION",1034,1282,0.807,180,1591,16972,5.24155565041282e-17,5.35221071414376e-15
"C2","REACTOME","13537","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3",648,720,0.9,129,1591,16972,5.52559813820699e-17,2.28667669619466e-14
"C5","GOCC","08829","GOCC_SPECIFIC_GRANULE_MEMBRANE","GOCC_SPECIFIC_GRANULE_MEMBRANE",88,91,0.967,38,1591,16972,6.20804726680279e-17,6.22384956893647e-15
"C5","GOBP","07053","GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND","GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND",1316,1813,0.726,213,1591,16972,2.34782288898655e-16,2.31176703747711e-14
"C5","GOMF","09455","GOMF_ENZYME_REGULATOR_ACTIVITY","GOMF_ENZYME_REGULATOR_ACTIVITY",1050,1284,0.818,180,1591,16972,2.50793972194634e-16,2.42610168891441e-14
"C5","GOBP","02462","GOBP_LEUKOCYTE_MIGRATION","GOBP_LEUKOCYTE_MIGRATION",311,396,0.785,78,1591,16972,2.69096361102206e-16,2.55827126744408e-14
"C5","GOBP","02117","GOBP_HEMOPOIESIS","GOBP_HEMOPOIESIS",811,950,0.854,149,1591,16972,3.08899589487968e-16,2.88690226514688e-14
"C2","REACTOME","13371","REACTOME_RHO_GTPASE_CYCLE","REACTOME_RHO_GTPASE_CYCLE",409,450,0.909,93,1591,16972,3.16355937867573e-16,1.12215970532169e-13
"C5","GOCC","08936","GOCC_VACUOLAR_MEMBRANE","GOCC_VACUOLAR_MEMBRANE",443,486,0.912,98,1591,16972,3.36599095718546e-16,3.05981372451913e-14
"C5","GOCC","08000","GOCC_AZUROPHIL_GRANULE","GOCC_AZUROPHIL_GRANULE",150,157,0.955,50,1591,16972,3.38499523387136e-16,3.05981372451913e-14
"C5","GOBP","02458","GOBP_LEUKOCYTE_DIFFERENTIATION","GOBP_LEUKOCYTE_DIFFERENTIATION",526,620,0.848,110,1591,16972,3.45022894284671e-16,3.0684778049769e-14
"C5","GOBP","02213","GOBP_IMMUNE_EFFECTOR_PROCESS","GOBP_IMMUNE_EFFECTOR_PROCESS",583,700,0.833,118,1591,16972,3.57534724645249e-16,3.12928011379984e-14
"C5","GOBP","01010","GOBP_CELL_ADHESION","GOBP_CELL_ADHESION",1081,1531,0.706,183,1591,16972,4.9252529836848e-16,4.24341327375594e-14
"C5","GOBP","04617","GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION","GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION",908,1200,0.757,161,1591,16972,5.13303092537906e-16,4.35438961885233e-14
"CELLMARKER","CELLMARKER","16188","CELLMARKER_Gonadal Endothelial Cell Fetal Gonad Human","Gonadal Endothelial Cell Fetal Gonad",417,466,0.895,93,1591,16972,1.15218986885518e-15,9.1311047106773e-14
"C5","GOBP","07345","GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION","GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION",431,492,0.876,95,1591,16972,1.23974752571669e-15,1.03575270557603e-13
"C5","GOBP","06591","GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS","GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS",441,515,0.856,96,1591,16972,2.02215029260653e-15,1.66419950946752e-13
"C5","GOBP","04970","GOBP_POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS",1061,1307,0.812,178,1591,16972,3.15385799493122e-15,2.55740779177217e-13
"C5","GOBP","05767","GOBP_REGULATION_OF_CELL_ACTIVATION","GOBP_REGULATION_OF_CELL_ACTIVATION",562,653,0.861,112,1591,16972,6.52250179665982e-15,5.21232969663511e-13
"C2","WP","14108","WP_CHEMOKINE_SIGNALING_PATHWAY","WP_CHEMOKINE_SIGNALING_PATHWAY",134,165,0.812,45,1591,16972,7.50403174763182e-15,2.32906385367123e-12
"C5","GOBP","06543","GOBP_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS","GOBP_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS",1050,1312,0.8,175,1591,16972,1.03913423512514e-14,8.18540881782859e-13
"C5","GOBP","06093","GOBP_REGULATION_OF_HYDROLASE_ACTIVITY","GOBP_REGULATION_OF_HYDROLASE_ACTIVITY",603,775,0.778,117,1591,16972,1.16287331642487e-14,9.03110347431932e-13
"C5","GOCC","08299","GOCC_FICOLIN_1_RICH_GRANULE_MEMBRANE","GOCC_FICOLIN_1_RICH_GRANULE_MEMBRANE",57,61,0.934,28,1591,16972,1.3289041598873e-14,1.01771910244702e-12
"C5","GOBP","07505","GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION","GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION",650,847,0.767,123,1591,16972,1.59313366295898e-14,1.1975741123778e-12
"C5","GOBP","04183","GOBP_PHAGOCYTOSIS","GOBP_PHAGOCYTOSIS",203,237,0.857,57,1591,16972,1.60719050264704e-14,1.1975741123778e-12
"C5","GOMF","09807","GOMF_LIPID_BINDING","GOMF_LIPID_BINDING",636,852,0.746,121,1591,16972,1.76539351955792e-14,1.29791731557898e-12
"C5","GOBP","02454","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GOBP_LEUKOCYTE_CELL_CELL_ADHESION",356,419,0.85,81,1591,16972,2.62910600887867e-14,1.90748559644171e-12
"C5","GOBP","02171","GOBP_HOMEOSTATIC_PROCESS","GOBP_HOMEOSTATIC_PROCESS",1275,1734,0.735,201,1591,16972,2.88085854023465e-14,2.06299402478622e-12
"C5","GOBP","01301","GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY","GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY",386,512,0.754,85,1591,16972,4.32600239387299e-14,3.05815092305329e-12
"C5","GOCC","08805","GOCC_SIDE_OF_MEMBRANE","GOCC_SIDE_OF_MEMBRANE",549,724,0.758,108,1591,16972,4.9973841392608e-14,3.48804761314988e-12
"C5","GOBP","04427","GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION","GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION",347,396,0.876,79,1591,16972,5.32919917359859e-14,3.67315053040283e-12
"C5","GOCC","08875","GOCC_TERTIARY_GRANULE_LUMEN","GOCC_TERTIARY_GRANULE_LUMEN",52,55,0.945,26,1591,16972,6.82966687005361e-14,4.64923248413279e-12
"C2","PID","11561","PID_CXCR4_PATHWAY","PID_CXCR4_PATHWAY",96,100,0.96,36,1591,16972,7.9703132528785e-14,2.19892086743303e-11
"C5","GOCC","07949","GOCC_ACTIN_CYTOSKELETON","GOCC_ACTIN_CYTOSKELETON",397,501,0.792,86,1591,16972,8.18852462525681e-14,5.50628351020318e-12
"C5","GOBP","06193","GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION","GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION",447,507,0.882,93,1591,16972,1.00514227838106e-13,6.67753556987131e-12
"C5","GOBP","05004","GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS","GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS",312,373,0.836,73,1591,16972,1.14613913102535e-13,7.52358472437353e-12
"C5","GOBP","06601","GOBP_REGULATION_OF_RESPONSE_TO_STRESS","GOBP_REGULATION_OF_RESPONSE_TO_STRESS",1205,1503,0.802,190,1591,16972,1.59524463941622e-13,1.0348445813813e-11
"C5","GOBP","07550","GOBP_TAXIS","GOBP_TAXIS",334,470,0.711,76,1591,16972,1.66736264589074e-13,1.06905088714436e-11
"C5","GOBP","07035","GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN","GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN",282,369,0.764,68,1591,16972,1.74260307798554e-13,1.10444981287497e-11
"C5","GOBP","06456","GOBP_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS","GOBP_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS",913,1187,0.769,154,1591,16972,1.79947528496189e-13,1.12753485469089e-11
"CELLMARKER","CELLMARKER","16585","CELLMARKER_Neutrophil Undefined Human","Neutrophil Undefined",32,32,1,20,1591,16972,1.83722183550665e-13,1.29422071523468e-11
"C2","WP","14746","WP_T_CELL_RECEPTOR_SIGNALING_PATHWAY","WP_T_CELL_RECEPTOR_SIGNALING_PATHWAY",75,75,1,31,1591,16972,1.9300640244321e-13,4.79234897266491e-11
"C5","GOBP","05768","GOBP_REGULATION_OF_CELL_ADHESION","GOBP_REGULATION_OF_CELL_ADHESION",628,804,0.781,117,1591,16972,2.20492853541428e-13,1.36606471283981e-11
"C2","PID","11663","PID_PDGFRB_PATHWAY","PID_PDGFRB_PATHWAY",125,129,0.969,41,1591,16972,2.88622998644702e-13,6.29314004353437e-11
"C2","WP","14083","WP_B_CELL_RECEPTOR_SIGNALING_PATHWAY","WP_B_CELL_RECEPTOR_SIGNALING_PATHWAY",90,92,0.978,34,1591,16972,3.04138866381041e-13,6.29314004353437e-11
"C5","GOBP","02952","GOBP_MONONUCLEAR_CELL_DIFFERENTIATION","GOBP_MONONUCLEAR_CELL_DIFFERENTIATION",413,482,0.857,87,1591,16972,3.10216304369435e-13,1.90059189143674e-11
"C5","GOBP","01015","GOBP_CELL_CELL_ADHESION","GOBP_CELL_CELL_ADHESION",677,962,0.704,123,1591,16972,3.2768455931037e-13,1.98555237366745e-11
"C5","GOCC","08250","GOCC_ENDOSOME_MEMBRANE","GOCC_ENDOSOME_MEMBRANE",499,561,0.889,99,1591,16972,3.44632988173563e-13,2.06555032259677e-11
"C5","GOCC","08066","GOCC_CELL_LEADING_EDGE","GOCC_CELL_LEADING_EDGE",361,424,0.851,79,1591,16972,4.91345135670473e-13,2.91320115923332e-11
"C5","GOBP","06457","GOBP_REGULATION_OF_PHOSPHORYLATION","GOBP_REGULATION_OF_PHOSPHORYLATION",805,1052,0.765,139,1591,16972,4.97220752455315e-13,2.91667577557298e-11
"C5","GOBP","05590","GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION","GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION",225,273,0.824,58,1591,16972,5.34095971718993e-13,3.10000546111424e-11
"C5","GOBP","03659","GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS","GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS",1305,1755,0.744,200,1591,16972,5.55254074398996e-13,3.18924058982923e-11
"CELLMARKER","CELLMARKER","16504","CELLMARKER_Naive CD4+ T Cell Peripheral Blood Human","Naive CD4+ T Cell Peripheral Blood",37,37,1,21,1591,16972,6.69609552602623e-13,4.24532456350063e-11
"C5","GOBP","03040","GOBP_MYELOID_LEUKOCYTE_ACTIVATION","GOBP_MYELOID_LEUKOCYTE_ACTIVATION",202,243,0.831,54,1591,16972,7.02719205845474e-13,3.99463268147623e-11
"C5","GOBP","04409","GOBP_POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY",758,939,0.807,132,1591,16972,1.06943057739893e-12,6.00379531410394e-11
"C5","GOCC","08876","GOCC_TERTIARY_GRANULE_MEMBRANE","GOCC_TERTIARY_GRANULE_MEMBRANE",70,73,0.959,29,1591,16972,1.07793931101975e-12,6.00379531410394e-11
"C5","GOBP","02353","GOBP_INTRACELLULAR_TRANSPORT","GOBP_INTRACELLULAR_TRANSPORT",1451,1602,0.906,216,1591,16972,1.11288728864019e-12,6.13646050956203e-11
"C5","GOBP","01028","GOBP_CELL_CHEMOTAXIS","GOBP_CELL_CHEMOTAXIS",235,325,0.723,59,1591,16972,1.13903358803947e-12,6.21844673707885e-11
"C5","GOBP","04743","GOBP_POSITIVE_REGULATION_OF_LOCOMOTION","GOBP_POSITIVE_REGULATION_OF_LOCOMOTION",437,615,0.711,89,1591,16972,1.22380856015374e-12,6.61576509871345e-11
"C5","GOBP","04428","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION",388,482,0.805,82,1591,16972,1.261699585882e-12,6.75438011315857e-11
"C5","GOBP","06824","GOBP_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT","GOBP_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT",424,533,0.795,87,1591,16972,1.43620349508562e-12,7.614640453752e-11
"C2","REACTOME","13168","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION",218,261,0.835,56,1591,16972,1.56830712795538e-12,2.99546661439478e-10
"C5","GOBP","05861","GOBP_REGULATION_OF_CYTOSKELETON_ORGANIZATION","GOBP_REGULATION_OF_CYTOSKELETON_ORGANIZATION",433,518,0.836,88,1591,16972,1.85576313899656e-12,9.74540756993051e-11
"CELLMARKER","CELLMARKER","15787","CELLMARKER_B Cell Undefined Human","B Cell Undefined",95,96,0.99,34,1591,16972,1.85755902148952e-12,1.07062947238578e-10
"C2","REACTOME","13795","REACTOME_VIRAL_INFECTION_PATHWAYS","REACTOME_VIRAL_INFECTION_PATHWAYS",748,825,0.907,130,1591,16972,1.85863163600439e-12,3.29641596585636e-10
"C5","GOCC","08628","GOCC_PHAGOCYTIC_VESICLE_MEMBRANE","GOCC_PHAGOCYTIC_VESICLE_MEMBRANE",76,80,0.95,30,1591,16972,1.9842178653147e-12,1.03216767069295e-10
"C5","GOBP","02464","GOBP_LEUKOCYTE_PROLIFERATION","GOBP_LEUKOCYTE_PROLIFERATION",283,351,0.806,66,1591,16972,2.04625386875689e-12,1.05449007778743e-10
