"uniprot","feature_id","gene_symbol","name","n_measure","n_tissue","n_cell","n_common","hacells_label","emblcells_label","cell label score","cell label","haatlas_label","emblatlas_label","mspatlas_label","msratlas_label","tissue label score","tissue label","Gobal label score (GLS)","Global label"
"P35318","OID21467","ADM","adrenomedullin",2,1,1,0,"","neutrophils",1,"neutrophils","","adiposetissue","","",1,"adiposetissue",1,"neutrophils"
"P35475","OID21468","IDUA","alpha-L-iduronidase",6,4,2,4,"tcellcd8","common",1,"tcellcd8","common","common","pancreas","common",1,"pancreas",1,"common"
"P37023","OID20999","ACVRL1","activin A receptor like type 1",5,4,1,1,"","macrophage",1,"macrophages","brain,colon","adiposetissue","lung","common",2,"adiposetissue.lung",2,"adiposetissue.lung"
"P37173","OID21493","TGFBR2","transforming growth factor beta receptor 2",6,4,2,2,"tcellcd4","platelets",2,"platelets.tcellcd4","common","adiposetissue","artery","common",2,"adiposetissue.artery",2,"platelets.tcellcd4"
"P39060","OID20332","COL18A1","collagen type XVIII alpha 1 chain",6,4,2,1,"tcellcd8","erythrocytes",2,"erythrocytes.tcellcd8","lung,nerve","liver","artery","common",2,"artery.liver",2,"plasma prot."
"P40121","OID21431","CAPG","capping actin protein, gelsolin like",6,4,2,2,"macrophages","macrophage",2,"macrophages","common","esophagus","thyroid","common",2,"esophagus.thyroid",2,"macrophages"
"P41218","OID20156","MNDA","myeloid cell nuclear differentiation antigen",6,4,2,1,"monocytes","neutrophils",2,"monocytes.neutrophils","bonemarrow,spleen","bonemarrow,spleen","lung,spleen","common",1.35,"spleen",2,"monocytes.neutrophils"
"P41271","OID21486","NBL1","NBL1, DAN family BMP antagonist",5,4,1,1,"","tcellcd4",1,"tcellcd4","colon,stomach","ovary","artery,brain","common",1,"ovary",1,"tcellcd4"
"P48960","OID20260","ADGRE5","adhesion G protein-coupled receptor E5",6,4,2,1,"monocytes,neutrophils","monocytes,neutrophils",1.8,"monocytes.neutrophils","spleen","spleen","artery","common",2,"spleen",2,"spleen"
"P49023","OID20822","PXN","paxillin",6,4,2,2,"monocytes","neutrophils",2,"monocytes.neutrophils","common","adiposetissue","nerve","common",2,"adiposetissue.nerve",2,"monocytes.neutrophils"
"P49771","OID20661","FLT3LG","fms related receptor tyrosine kinase 3 ligand",2,1,1,1,"","tcellcd4",1,"tcellcd4","","common","","",0,"",1,"tcellcd4"
"P50120","OID21365","RBP2","retinol binding protein 2",3,3,0,0,"","",0,"","stomach","colon","","lung",3,"colon.lung.stomach",3,"colon.lung.stomach"
"P50452","OID20630","SERPINB8","serpin family B member 8",6,4,2,2,"monocytes","monocytes",2,"monocytes","common","skin","artery,skin","common",1.45,"skin",2,"monocytes"
"P50591","OID20611","TNFSF10","TNF superfamily member 10",4,3,1,2,"","neutrophils",1,"neutrophils","","common","muscle","common",1,"muscle",1,"neutrophils"
"P50749","OID21194","RASSF2","Ras association domain family member 2",6,4,2,1,"platelets","neutrophils",2,"neutrophils.platelets","liver","bonemarrow","spleen","common",3,"bonemarrow.liver.spleen",3,"bonemarrow.liver.spleen"
"P51671","OID20668","CCL11","C-C motif chemokine ligand 11",1,1,0,0,"","",0,"","","colon","","",1,"colon",1,"colon"
"P51693","OID20164","APLP1","amyloid beta precursor like protein 1",6,4,2,0,"monocytes,tcellcd4","platelets",1,"platelets","kidney","brain","brain","brain",3,"brain",3,"brain"
"P52943","OID20901","CRIP2","cysteine rich protein 2",6,4,2,2,"common","bcell",1,"bcell","adiposetissue,heart","heart","artery","common",1.45,"heart",1.45,"heart"
"P55103","OID21093","INHBC","inhibin subunit beta C",3,3,0,0,"","",0,"","","liver","liver","liver",3,"liver",3,"liver"
"P56159","OID21457","GFRA1","GDNF family receptor alpha 1",5,4,1,1,"erythrocytes","",1,"erythrocytes","lung","adiposetissue","nerve","common",3,"adiposetissue.lung.nerve",3,"adiposetissue.lung.nerve"
"P56279","OID20987","TCL1A","TCL1 family AKT coactivator A",6,4,2,0,"bcell","bcell",2,"bcell","bladder","spleen","muscle","spleen",2,"spleen",2,"bcell"
"P56470","OID20748","LGALS4","galectin 4",6,4,2,0,"macrophages","monocytes",2,"macrophages.monocytes","colon","colon","colon","liver",3,"colon",3,"colon"
"P61218","OID21283","POLR2F","RNA polymerase II, I and III subunit F",3,2,1,0,"tcellcd8","",1,"tcellcd8","bladder","bonemarrow","","",2,"bladder.bonemarrow",2,"bladder.bonemarrow"
"P63313","OID21118","TMSB10","thymosin beta 10",6,4,2,3,"bcell","common",1,"bcell","common","colon,spleen","artery,brain","common",1.8,"common",1.8,"common"
"P78380","OID20183","OLR1","oxidized low density lipoprotein receptor 1",6,4,2,0,"neutrophils","neutrophils",2,"neutrophils","spleen","bonemarrow","muscle","lung",4,"common",4,"common"
"P78423","OID20976","CX3CL1","C-X3-C motif chemokine ligand 1",2,1,1,0,"","monocytes,neutrophils",0.9,"monocytes.neutrophils","","artery","","",1,"artery",1,"artery"
"P80511","OID21374","S100A12","S100 calcium binding protein A12",6,4,2,0,"neutrophils","neutrophils",2,"neutrophils","spleen","bonemarrow","liver","spleen",2,"spleen",2,"neutrophils"
"Q02083","OID20931","NAAA","N-acylethanolamine acid amidase",6,4,2,4,"common","monocytes",1,"monocytes","common","common","liver","common",1,"liver",1,"common"
"Q07011","OID20985","TNFRSF9","TNF receptor superfamily member 9",2,1,1,0,"","macrophage,neutrophils",0.9,"macrophages.neutrophils","","bonemarrow,spleen","","",0.9,"bonemarrow.spleen",0.9,"macrophages.neutrophils"
"Q08345","OID21009","DDR1","discoidin domain receptor tyrosine kinase 1",6,4,2,2,"monocytes","bcell",2,"bcell.monocytes","common","muscle","brain","common",2,"brain.muscle",2,"bcell.monocytes"
"Q08629","OID20924","SPOCK1","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1",5,4,1,0,"","monocytes",1,"monocytes","brain","brain","brain","brain,heart",3.45,"brain",3.45,"brain"
"Q08708","OID21010","CD300C","CD300c molecule",2,1,1,0,"","macrophage",1,"macrophages","","spleen","","",1,"spleen",1,"macrophages"
"Q10589","OID21029","BST2","bone marrow stromal cell antigen 2",6,4,2,2,"common","macrophage,monocytes",0.9,"macrophages.monocytes","lung,spleen","adrenalgland,ovary","ovary","common",1.45,"ovary",1.45,"ovary"
"Q13275","OID20186","SEMA3F","semaphorin 3F",2,1,1,0,"","monocytes",1,"monocytes","","skin","","",1,"skin",1,"monocytes"
"Q13361","OID20239","MFAP5","microfibril associated protein 5",5,4,1,2,"","neutrophils",1,"neutrophils","common","adiposetissue","esophagus,muscle","common",1,"adiposetissue",1,"neutrophils"
"Q13478","OID20652","IL18R1","interleukin 18 receptor 1",6,4,2,1,"neutrophils","neutrophils",2,"neutrophils","lung,spleen","spleen","artery","common",1.45,"spleen",2,"neutrophils"
"Q14005","OID20633","IL16","interleukin 16",6,4,2,2,"tcellcd4,tcellcd8","common",0.9,"tcellcd4.tcellcd8","spleen","spleen","spleen","common",3,"spleen",3,"spleen"
"Q14210","OID20708","LY6D","lymphocyte antigen 6 family member D",5,4,1,0,"tcellcd4","",1,"tcellcd4","prostate","esophagus,skin","esophagus","esophagus,skin",1.9,"esophagus",1.9,"esophagus"
"Q14213","OID21389","EBI3","Epstein-Barr virus induced 3",2,1,1,0,"","macrophage",1,"macrophages","","spleen","","",1,"spleen",1,"macrophages"
"Q14508","OID21505","WFDC2","WAP four-disulfide core domain 2",3,3,0,1,"","",0,"","","kidney","thyroid","common",2,"kidney.thyroid",2,"kidney.thyroid"
"Q14512","OID21507","FGFBP1","fibroblast growth factor binding protein 1",4,4,0,0,"","",0,"","colon","esophagus","esophagus","esophagus,skin",2.45,"esophagus",2.45,"esophagus"
"Q15109","OID20756","AGER","advanced glycosylation end-product specific receptor",6,4,2,0,"tcellcd8","monocytes,neutrophils",1,"tcellcd8","lung","lung","lung","lung",4,"lung",4,"lung"
"Q16288","OID21057","NTRK3","neurotrophic receptor tyrosine kinase 3",5,4,1,0,"","tcellcd4,tcellcd8",0.9,"tcellcd4.tcellcd8","brain","artery","artery","brain,ovary",2,"artery",2,"artery"
"Q16651","OID20763","PRSS8","serine protease 8",5,4,1,1,"neutrophils","",1,"neutrophils","pancreas","pancreas","thyroid","common",2,"pancreas",2,"pancreas"
"Q16674","OID21531","MIA","MIA SH3 domain containing",2,2,0,0,"","",0,"","stomach","nerve","","",2,"nerve.stomach",2,"nerve.stomach"
"Q2VWP7","OID21443","PRTG","protogenin",2,1,1,0,"","erythrocytes",1,"erythrocytes","","thyroid","","",1,"thyroid",1,"erythrocytes"
"Q496F6","OID21418","CD300E","CD300e molecule",4,2,2,1,"neutrophils","monocytes",2,"monocytes.neutrophils","common","bonemarrow","","",1,"bonemarrow",2,"monocytes.neutrophils"
"Q5KU26","OID20738","COLEC12","collectin subfamily member 12",6,4,2,1,"neutrophils","macrophage,neutrophils",1.45,"neutrophils","ovary","adiposetissue","nerve","common",3,"adiposetissue.nerve.ovary",3,"adiposetissue.nerve.ovary"
"Q6GTX8","OID20737","LAIR1","leukocyte associated immunoglobulin like receptor 1",6,4,2,4,"common","common",0,"","common","bonemarrow","liver","common",2,"bonemarrow.liver",2,"common"
