"uniprot","feature_id","gene_symbol","name","n_measure","n_tissue","n_cell","n_common","hacells_label","emblcells_label","cell label score","cell label","haatlas_label","emblatlas_label","mspatlas_label","msratlas_label","tissue label score","tissue label","Gobal label score (GLS)","Global label"
"Q9H2A7","OID20282","CXCL16","C-X-C motif chemokine ligand 16",4,3,1,1,"","macrophage",1,"macrophages","","bonemarrow","heart,muscle","common",1,"bonemarrow",1,"macrophages"
"Q9H3U7","OID20730","SMOC2","SPARC related modular calcium binding 2",4,4,0,1,"","",0,"","ovary","artery","artery","common",2,"artery",2,"artery"
"Q9H4D0","OID20664","CLSTN2","calsyntenin 2",4,3,1,1,"","neutrophils,platelets",0.9,"neutrophils.platelets","","adiposetissue","ovary","common",2,"adiposetissue.ovary",2,"adiposetissue.ovary"
"Q9H6B4","OID21419","CLMP","CXADR like membrane protein",4,3,1,0,"","tcellcd4,tcellcd8",0.9,"tcellcd4.tcellcd8","","adiposetissue","artery,nerve","artery,ovary",1,"adiposetissue",1,"adiposetissue"
"Q9HAN9","OID20913","NMNAT1","nicotinamide nucleotide adenylyltransferase 1",6,4,2,2,"common","neutrophils,platelets",0.9,"neutrophils.platelets","colon","heart","liver,pancreas","common",2,"colon.heart",2,"colon.heart"
"Q9HCB6","OID20759","SPON1","spondin 1",4,2,2,1,"macrophages,monocytes","tcellcd4,tcellcd8",1.8,"common","common","adiposetissue","","",1,"adiposetissue",1.8,"common"
"Q9NP84","OID21482","TNFRSF12A","TNF receptor superfamily member 12A",4,3,1,1,"","macrophage",1,"macrophages","","pancreas","pancreas","common",2,"pancreas",2,"pancreas"
"Q9NPH6","OID20980","OBP2B","odorant binding protein 2B",1,1,0,0,"","",0,"","","ovary","","",1,"ovary",1,"ovary"
"Q9NQ30","OID20758","ESM1","endothelial cell specific molecule 1",2,1,1,0,"","tcellcd8",1,"tcellcd8","","kidney","","",1,"kidney",1,"tcellcd8"
"Q9NSA1","OID21402","FGF21","fibroblast growth factor 21",1,1,0,0,"","",0,"","","liver","","",1,"liver",1,"liver"
"Q9P0G3","OID21407","KLK14","kallikrein related peptidase 14",5,4,1,1,"bcell","",1,"bcell","common","skin","esophagus,heart","skin",2,"skin",2,"skin"
"Q9P0K1","OID21001","ADAM22","ADAM metallopeptidase domain 22",6,4,2,0,"erythrocytes","tcellcd4,tcellcd8",1,"erythrocytes","brain","adrenalgland,brain","brain","brain",3.45,"brain",3.45,"brain"
"Q9UBT3","OID20934","DKK4","dickkopf WNT signaling pathway inhibitor 4",1,1,0,0,"","",0,"","","esophagus","","",1,"esophagus",1,"esophagus"
"Q9UBU3","OID20175","GHRL","ghrelin and obestatin prepropeptide",5,4,1,0,"","monocytes,neutrophils",0.9,"monocytes.neutrophils","stomach","stomach","stomach","stomach",4,"stomach",4,"stomach"
"Q9UBX7","OID21518","KLK11","kallikrein related peptidase 11",6,4,2,1,"monocytes,platelets","neutrophils",1,"neutrophils","spleen","esophagus,skin","prostate","common",2,"prostate.spleen",2,"prostate.spleen"
"Q9UHX3","OID20755","ADGRE2","adhesion G protein-coupled receptor E2",6,4,2,0,"monocytes,neutrophils","neutrophils",1.45,"neutrophils","spleen","spleen","lung,spleen","spleen",3.45,"spleen",3.45,"spleen"
"Q9UKR3","OID21291","KLK13","kallikrein related peptidase 13",3,3,0,0,"","",0,"","","esophagus","esophagus","esophagus",3,"esophagus",3,"esophagus"
"Q9ULX7","OID21401","CA14","carbonic anhydrase 14",6,4,2,2,"tcellcd4","monocytes,neutrophils",1,"tcellcd4","colon","brain","common","common",2,"brain.colon",2,"brain.colon"
"Q9UP79","OID21502","ADAMTS8","ADAM metallopeptidase with thrombospondin type 1 motif 8",1,1,0,0,"","",0,"","","artery","","",1,"artery",1,"artery"
"Q9Y2J8","OID20467","PADI2","peptidyl arginine deiminase 2",6,4,2,0,"tcellcd4","neutrophils",2,"neutrophils.tcellcd4","brain,colon","muscle","muscle","muscle",3,"muscle",3,"muscle"
"Q9Y336","OID21390","SIGLEC9","sialic acid binding Ig like lectin 9",6,4,2,1,"common","macrophage",1,"macrophages","bonemarrow,spleen","spleen","spleen","lung,spleen",2.9,"spleen",2.9,"spleen"
"Q9Y5W5","OID21464","WIF1","WNT inhibitory factor 1",1,1,0,0,"","",0,"","","lung","","",1,"lung",1,"lung"
