"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","Matching.Attribute","name","NeighborhoodConnectivity","nms.score.avg","nms.score.EE","nms.score.RE","Outdegree","PartnerOfMultiEdgedNodePairs","SCION.magical.NMS","selected","SelfLoops","shared name","Stress"
"0.0","0.0","0.0","0.2","0","5","5","false","ENSG00000261613.2","ENSG00000261613.2","1082.0","0.0064172414999999995","0.008873698","0.003960785","0","0","0.00659225543348271","false","0","ENSG00000261613.2","0"
"0.0","0.0","0.0","0.21428571428571427","0","7","7","false","ENSG00000227775.3","ENSG00000227775.3","1071.142857142857","0.016432923000000002","0.016668588","0.016197258","0","0","0.012350959747676","false","0","ENSG00000227775.3","0"
"0.0","0.0","0.0","0.2","0","5","5","false","OLIG1","OLIG1","1086.6","0.0019200155","0.003038267","8.01764E-4","0","0","0.0115330236936975","false","0","OLIG1","0"
"0.0","0.0","0.0","0.3333333333333333","0","4","4","false","ENSG00000262691.1","ENSG00000262691.1","1208.0","0.007035195500000001","5.79087E-4","0.013491304","0","0","0.00699527628978229","false","0","ENSG00000262691.1","0"
"0.0","0.0","0.0","0.16666666666666666","0","4","4","false","NDUFA6","NDUFA6","1413.25","0.0025296084999999998","5.79087E-4","0.00448013","0","0","0.00869225389652052","false","0","NDUFA6","0"
"0.0","0.0","0.0","0.5","0","2","2","false","KRBA2","KRBA2","1336.5","2.6567400000000003E-4","3.30907E-4","2.00441E-4","0","0","0.00111905448605566","false","0","KRBA2","0"
"0.0","0.0","0.0","0.2","0","5","5","false","ZNF407-AS1","ZNF407-AS1","1055.4","0.0078774885","0.002263673","0.013491304","0","0","0.00820435351111746","false","0","ZNF407-AS1","0"
"0.0","0.0","0.0","0.16666666666666666","0","4","4","false","PHBP9","PHBP9","1050.25","0.0021814345","4.13633E-4","0.003949236","0","0","0.00342641326952321","false","0","PHBP9","0"
"0.0","0.0","0.0","0.2","0","5","5","false","CYP4F35P","CYP4F35P","884.2","0.004951469","2.4818E-4","0.009654758","0","0","0.00534697012729653","false","0","CYP4F35P","0"
"0.0","0.0","0.0","0.16666666666666666","0","3","3","false","ENSG00000265298.1","ENSG00000265298.1","1141.3333333333333","0.0037750635","0.0","0.007550127","0","0","0.00156244276448554","false","0","ENSG00000265298.1","0"
"0.0","0.0","0.0","0.2","0","6","6","false","ENSG00000267127.7","ENSG00000267127.7","742.8333333333334","0.0090952575","0.00259458","0.015595935","0","0","0.00773406523369153","false","0","ENSG00000267127.7","0"
"0.0","0.0","0.0","0.08333333333333333","0","4","4","false","HSD17B1-AS1","HSD17B1-AS1","905.75","0.0025356095","9.09993E-4","0.004161226","0","0","0.00245732878664798","false","0","HSD17B1-AS1","0"
"0.0","0.0","0.0","0.15","0","5","5","false","KANTR","KANTR","1007.2","0.009075018","6.61813E-4","0.017488223","0","0","0.00681661845419541","false","0","KANTR","0"
"0.0","0.0","0.0","0.2619047619047619","0","7","7","false","ENSG00000268119.7","ENSG00000268119.7","1045.0","0.013373675335539379","8.27266710787558E-5","0.026664624","0","0","0.011319556493031","false","0","ENSG00000268119.7","0"
"0.0","0.0","0.0","0.0","0","3","3","false","TRIM69","TRIM69","1196.6666666666667","4.899845E-4","5.79087E-4","4.00882E-4","0","0","9.81743057350348E-4","false","0","TRIM69","0"
"0.0","0.0","0.0","0.0","0","3","3","false","TMEM185A","TMEM185A","921.0","3.3965350000000004E-4","5.79087E-4","1.0022E-4","0","0","2.40720234942949E-4","false","0","TMEM185A","0"
"0.0","0.0","0.0","0.09523809523809523","0","7","7","false","ZNF37BP","ZNF37BP","766.8571428571429","0.002738427","0.004975752","5.01102E-4","0","0","0.00668010122171283","false","0","ZNF37BP","0"
"0.0","0.0","0.0","0.05","0","5","5","false","ENSG00000269937.1","ENSG00000269937.1","970.4","0.0018286374999999999","0.003256393","4.00882E-4","0","0","0.00444515306554765","false","0","ENSG00000269937.1","0"
"0.0","0.0","0.0","0.3","0","5","5","false","TAL2","TAL2","1194.2","0.00411512","9.09993E-4","0.007320247","0","0","0.00926128378222281","false","0","TAL2","0"
"0.0","0.0","0.0","0.06666666666666667","0","6","6","false","KCNQ1OT1","KCNQ1OT1","684.8333333333334","0.002681936","0.0","0.005363872","0","0","0.00358647512823621","false","0","KCNQ1OT1","0"
"0.0","0.0","0.0","0.19642857142857142","0","8","8","false","PFN1P2","PFN1P2","872.75","0.009489644","1.65453E-4","0.018813835","0","0","0.0105770175203175","false","0","PFN1P2","0"
"0.0","0.0","0.0","0.1","0","5","5","false","KBTBD13","KBTBD13","811.2","0.0025531035","7.4454E-4","0.004361667","0","0","0.0034986293400061","false","0","KBTBD13","0"
"0.0","0.0","0.0","0.3333333333333333","0","3","3","false","RBMS3-AS3","RBMS3-AS3","931.6666666666666","0.0026230788355393777","8.27266710787558E-5","0.005163431","0","0","0.00325368795218962","false","0","RBMS3-AS3","0"
"0.0","0.0","0.0","0.4166666666666667","0","4","4","false","FNBP1","FNBP1","1443.75","0.0092577595","0.013352088","0.005163431","0","0","0.00632673567856245","false","0","FNBP1","0"
"0.0","0.0","0.0","0.0","0","5","5","false","CMC1","CMC1","943.4","5.400945E-4","5.79087E-4","5.01102E-4","0","0","0.00114503731589467","false","0","CMC1","0"
"0.0","0.0","0.0","0.1","0","5","5","false","ENSG00000271254.7","ENSG00000271254.7","771.2",,,"0.004361667","0","0","0.00302437628212037","false","0","ENSG00000271254.7","0"
"0.0","0.0","0.0","0.0","0","2","2","false","MAGEH1","MAGEH1","1292.0",,,"2.00441E-4","0","0","2.16648211448654E-4","false","0","MAGEH1","0"
"0.0","0.0","0.0","0.3333333333333333","0","3","3","false","ENSG00000272356.1","ENSG00000272356.1","969.6666666666666","0.0034202595","0.006640078","2.00441E-4","0","0","0.00315317870533891","false","0","ENSG00000272356.1","0"
"0.0","0.0","0.0","0.13333333333333333","0","6","6","false","ENSG00000272140.2","ENSG00000272140.2","637.6666666666666","2.744205E-4","2.4818E-4","3.00661E-4","0","0","0.00416618608232919","false","0","ENSG00000272140.2","0"
"0.0","0.0","0.0","0.0","0","2","2","false","ENSG00000272848.2","ENSG00000272848.2","1256.0",,,"7.01543E-4","0","0","9.52461127940308E-4","false","0","ENSG00000272848.2","0"
"0.0","0.0","0.0","0.16666666666666666","0","3","3","false","ENSG00000272668.2","ENSG00000272668.2","1120.3333333333333","4.5736750000000004E-4","4.13633E-4","5.01102E-4","0","0","0.00231289664568221","false","0","ENSG00000272668.2","0"
"0.0","0.0","0.0","0.16666666666666666","0","7","7","false","AMY2B","AMY2B","1080.7142857142858","0.0090434685","0.008131518","0.009955419","0","0","0.00890713446939482","false","0","AMY2B","0"
"0.0","0.0","0.0","0.2","0","5","5","false","ENSG00000273007.2","ENSG00000273007.2","992.4","0.0074812995","0.014762158","2.00441E-4","0","0","0.0061100874671138","false","0","ENSG00000273007.2","0"
"0.0","0.0","0.0","0.16666666666666666","0","3","3","false","GHRLOS","GHRLOS","956.0","0.001232057","0.002263673","2.00441E-4","0","0","0.00241340589253292","false","0","GHRLOS","0"
"0.0","0.0","0.0","0.1","0","6","6","false","SFTPD-AS1","SFTPD-AS1","663.6666666666666","6.641845E-4","8.27267E-4","5.01102E-4","0","0","0.00461511222297374","false","0","SFTPD-AS1","0"
"0.0","0.0","0.0","0.16666666666666666","0","3","3","false","CIBAR1","CIBAR1","1214.0","0.0013322775","0.002263673","4.00882E-4","0","0","0.00465210407750235","false","0","CIBAR1","0"
"0.0","0.0","0.0","0.13333333333333333","0","6","6","false","LY6G5B","LY6G5B","1067.8333333333333","0.0028736355","0.004644846","0.001102425","0","0","0.00689378317403484","false","0","LY6G5B","0"
"0.0","0.0","0.0","0.06666666666666667","0","6","6","false","ENSG00000274265.5","ENSG00000274265.5","582.5","0.0051681245","0.010035588","3.00661E-4","0","0","0.00430566957393842","false","0","ENSG00000274265.5","0"
"0.0","0.0","0.0","0.039473684210526314","0","21","21","false","C1QTNF9","C1QTNF9","328.4","6.88054E-4","0.001075447","3.00661E-4","0","1","0.0256132336573758","false","0","C1QTNF9","0"
"0.0","0.0","0.0","0.036290322580645164","0","32","32","false","UHRF1","UHRF1","339.21875","0.002588091","4.13633E-4","0.004762549","0","0","0.0592054739362596","false","0","UHRF1","0"
"0.0","0.0","0.0","0.17857142857142858","0","8","8","false","ENSG00000241860.7","ENSG00000241860.7","894.875","0.013707585000000001","0.021650417","0.005764753","0","0","0.0119538714096297","false","0","ENSG00000241860.7","0"
"0.0","0.0","0.0","0.0","0","1","1","false","ENSG00000274776.1","ENSG00000274776.1","2283.0",,,"2.00441E-4","0","0","1.92576187954359E-4","false","0","ENSG00000274776.1","0"
"0.0","0.0","0.0","0.0","0","4","4","false","GIMAP5","GIMAP5","877.75","3.07037E-4","4.13633E-4","2.00441E-4","0","0","8.56173033963128E-4","false","0","GIMAP5","0"
"0.0","0.0","0.0","0.3","0","5","5","false","ENSG00000276805.2","ENSG00000276805.2","997.8","0.004868742335539377","8.27266710787558E-5","0.009654758","0","0","0.00564849786784866","false","0","ENSG00000276805.2","0"
"0.0","0.0","0.0","0.125","0","8","8","false","STAG3L5P","STAG3L5P","830.875","0.017134598","0.004810299","0.029458897","0","0","0.0114873331610081","false","0","STAG3L5P","0"
"0.0","0.0","0.0","0.15","0","5","5","false","NAA80","NAA80","1045.8","0.005169403335539378","8.27266710787558E-5","0.01025608","0","0","0.00632673567856245","false","0","NAA80","0"
"0.0","0.0","0.0","0.0","0","2","2","false","NLGN3","NLGN3","1632.5","4.899845E-4","5.79087E-4","4.00882E-4","0","0","7.89166869395988E-4","false","0","NLGN3","0"
"0.0","0.0","0.0","0.09523809523809523","0","7","7","false","LIFR-AS1","LIFR-AS1","908.7142857142857","0.0027774139999999998","9.9272E-4","0.004562108","0","0","0.00728315670281709","false","0","LIFR-AS1","0"
"0.0","0.0","0.0","0.08333333333333333","0","4","4","false","ANXA6","ANXA6","1206.5","0.0026230788355393777","8.27266710787558E-5","0.005163431","0","0","0.00615004558076906","false","0","ANXA6","0"
"0.0","0.0","0.0","0.0","0","3","3","false","PKD1P1","PKD1P1","989.0","1.415838355393779E-4","8.27266710787558E-5","2.00441E-4","0","0","3.37008328920129E-4","false","0","PKD1P1","0"
"0.0","0.0","0.0","0.125","0","8","8","false","PICART1","PICART1","804.0","0.011367196000000001","0.004644846","0.018089546","0","0","0.010739845538938","false","0","PICART1","0"
"0.0","0.0","0.0","0.10714285714285714","0","8","8","false","MRPL21","MRPL21","822.875","0.0036736234999999997","9.9272E-4","0.006354527","0","0","0.0142705180841162","false","0","MRPL21","0"
"0.0","0.0","0.0","0.16666666666666666","0","3","3","false","ENSG00000278934.1","ENSG00000278934.1","897.6666666666666","4.8123700000000003E-4","6.61813E-4","3.00661E-4","0","0","0.00102276639207848","false","0","ENSG00000278934.1","0"
