tissue	assay	contrast_type	contrast	contrast_short	collection	database	set_id	set	set_short	set_size	set_size_DB	size_ratio	direction	t	df	z.std	p_value	adj_p_value
adipose	prot-pr	NA	NA	NA	C5	GOBP	00686	GOBP_BRANCHED_CHAIN_AMINO_ACID_CATABOLIC_PROCESS	GOBP_BRANCHED_CHAIN_AMINO_ACID_CATABOLIC_PROCESS	19	21	0.905	Down	-0.98229933376844	7507	-0.982235060180378	0.325984058838348	0.601522753354701
adipose	prot-pr	NA	NA	NA	C5	GOBP	07169	GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	31	35	0.886	Down	-0.980014965990831	7507	-0.979950988145032	0.327110312418316	0.602894182372868
adipose	prot-pr	NA	NA	NA	C5	GOBP	02498	GOBP_LIPID_TRANSPORT_ACROSS_BLOOD_BRAIN_BARRIER	GOBP_LIPID_TRANSPORT_ACROSS_BLOOD_BRAIN_BARRIER	5	6	0.833	Up	0.976694828588768	7507	0.976631278758859	0.328751728118936	0.605210783694978
adipose	prot-pr	NA	NA	NA	C5	GOBP	02232	GOBP_IMP_METABOLIC_PROCESS	GOBP_IMP_METABOLIC_PROCESS	15	18	0.833	Down	-0.975100019031844	7507	-0.975036674031891	0.329542068592631	0.605341734964495
adipose	prot-pr	NA	NA	NA	C5	GOBP	05492	GOBP_PURINE_NUCLEOTIDE_SALVAGE	GOBP_PURINE_NUCLEOTIDE_SALVAGE	10	11	0.909	Down	-0.971941040584382	7507	-0.971878099847223	0.331111196044739	0.606135009086829
adipose	prot-pr	NA	NA	NA	C5	GOBP	01825	GOBP_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	GOBP_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	26	32	0.812	Up	0.971804293776393	7507	0.971741370495286	0.331179229869551	0.606135009086829
adipose	prot-pr	NA	NA	NA	C5	GOBP	03289	GOBP_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_CALCIUM_ION_CONCENTRATION	GOBP_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM...(03289)	6	8	0.75	Down	-0.969374468955393	7507	-0.969311855242325	0.332389616009958	0.606395952151882
adipose	prot-pr	NA	NA	NA	C5	GOBP	03007	GOBP_MULTI_PASS_TRANSMEMBRANE_PROTEIN_INSERTION_INTO_ER_MEMBRANE	GOBP_MULTI_PASS_TRANSMEMBRANE_PROTEIN_INSERTION...(03007)	7	9	0.778	Down	-0.96919811150769	7507	-0.969135520218632	0.332477577323427	0.606395952151882
adipose	prot-pr	NA	NA	NA	C5	GOBP	05496	GOBP_PURINE_RIBONUCLEOSIDE_SALVAGE	GOBP_PURINE_RIBONUCLEOSIDE_SALVAGE	7	7	1	Down	-0.967501760887623	7507	-0.967439384983729	0.333324429281209	0.606944576584075
adipose	prot-pr	NA	NA	NA	C5	GOBP	06222	GOBP_REGULATION_OF_MDA_5_SIGNALING_PATHWAY	GOBP_REGULATION_OF_MDA_5_SIGNALING_PATHWAY	5	7	0.714	Down	-0.964557043840051	7507	-0.964495040505967	0.334797793690192	0.606944576584075
adipose	prot-pr	NA	NA	NA	C5	GOBP	05415	GOBP_PROTEIN_REFOLDING	GOBP_PROTEIN_REFOLDING	24	27	0.889	Down	-0.96432818886701	7507	-0.964266214417947	0.334912474869447	0.606944576584075
adipose	prot-pr	NA	NA	NA	C5	GOBP	05483	GOBP_PURINE_NUCLEOSIDE_DIPHOSPHATE_BIOSYNTHETIC_PROCESS	GOBP_PURINE_NUCLEOSIDE_DIPHOSPHATE_BIOSYNTHETIC_PROCESS	5	6	0.833	Down	-0.962239822479042	7507	-0.962178111148182	0.335960142400595	0.607410996436948
adipose	prot-pr	NA	NA	NA	C5	GOBP	03723	GOBP_NEGATIVE_REGULATION_OF_TELOMERE_CAPPING	GOBP_NEGATIVE_REGULATION_OF_TELOMERE_CAPPING	6	8	0.75	Up	0.959536386692572	7507	0.959475014729198	0.337319500659191	0.60887717206143
adipose	prot-pr	NA	NA	NA	C5	GOBP	04148	GOBP_PEPTIDYL_LYSINE_HYDROXYLATION	GOBP_PEPTIDYL_LYSINE_HYDROXYLATION	6	8	0.75	Down	-0.956760838226722	7507	-0.956699813225879	0.33871879243329	0.610702610870559
adipose	prot-pr	NA	NA	NA	C5	GOBP	05479	GOBP_PURINE_NUCLEOBASE_METABOLIC_PROCESS	GOBP_PURINE_NUCLEOBASE_METABOLIC_PROCESS	18	21	0.857	Down	-0.953154568152012	7507	-0.953093991760907	0.340542450052748	0.612593539204939
adipose	prot-pr	NA	NA	NA	C5	GOBP	07687	GOBP_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_CLEARANCE	GOBP_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_CLEARANCE	5	7	0.714	Down	-0.949399293170342	7507	-0.949339181293087	0.342448131964636	0.614076182852703
adipose	prot-pr	NA	NA	NA	C5	GOBP	04649	GOBP_POSITIVE_REGULATION_OF_HELICASE_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_HELICASE_ACTIVITY	6	7	0.857	Up	0.947323151758044	7507	0.947263295543199	0.343504629198532	0.614076182852703
adipose	prot-pr	NA	NA	NA	C5	GOBP	04498	GOBP_POSITIVE_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	GOBP_POSITIVE_REGULATION_OF_CYSTEINE_TYPE...(04498)	5	7	0.714	Up	0.946868889625342	7507	0.946809089240904	0.343736069364271	0.614076182852703
adipose	prot-pr	NA	NA	NA	C5	GOBP	05489	GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	36	43	0.837	Down	-0.946150428077671	7507	-0.946090715914996	0.344102318691169	0.614076182852703
adipose	prot-pr	NA	NA	NA	C5	GOBP	05427	GOBP_PROTEIN_TARGETING_TO_LYSOSOME	GOBP_PROTEIN_TARGETING_TO_LYSOSOME	25	33	0.758	Down	-0.945387953969864	7507	-0.94532833532666	0.34449127665752	0.614076182852703
adipose	prot-pr	NA	NA	NA	C5	GOBP	02660	GOBP_MANNOSE_METABOLIC_PROCESS	GOBP_MANNOSE_METABOLIC_PROCESS	8	9	0.889	Up	0.939224230643473	7507	0.939165363973789	0.347645848978075	0.616904809798749
adipose	prot-pr	NA	NA	NA	C5	GOBP	02883	GOBP_MITOCHONDRION_ENDOPLASMIC_RETICULUM_MEMBRANE_TETHERING	GOBP_MITOCHONDRION_ENDOPLASMIC_RETICULUM_MEMBRANE_TETHERING	5	7	0.714	Up	0.93812090494967	7507	0.938062172132073	0.348212460356922	0.617008882470619
adipose	prot-pr	NA	NA	NA	C5	GOBP	02568	GOBP_LYSOSOMAL_TRANSPORT	GOBP_LYSOSOMAL_TRANSPORT	96	135	0.711	Down	-0.937583807381796	7507	-0.937525139640655	0.348488498422097	0.617008882470619
adipose	prot-pr	NA	NA	NA	C5	GOBP	07700	GOBP_TRNA_SURVEILLANCE	GOBP_TRNA_SURVEILLANCE	7	8	0.875	Down	-0.936769386215516	7507	-0.936710817049174	0.348907330546901	0.617056335146991
adipose	prot-pr	NA	NA	NA	C5	GOBP	06375	GOBP_REGULATION_OF_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION	GOBP_REGULATION_OF_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION	9	12	0.75	Up	0.933372836936027	7507	0.933314677539573	0.35065751908168	0.617999130243454
