"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Ensembl","GeneID","contrast"
"7623",205.197443630047,-0.101982870374634,0.0897490766879425,-1.13631108127417,0.255826394711101,0.556818599815888," ENSG00000227500.11","SCAMP4","LOW Post - Pre"
"7624",10.695124345505,0.672684843791636,0.59199579705362,1.13630003310768,0.255831016944339,NA," ENSG00000182885.17","ADGRG3","LOW Post - Pre"
"7625",210.59491175612,-0.0868790092247468,0.0764768240641135,-1.13601748357009,0.255949247215782,0.556924720645473," ENSG00000137309.21","HMGA1","LOW Post - Pre"
"7626",486.793282730688,0.116640968108529,0.102682247584347,1.13594093285419,0.255981285697716,0.556924720645473," ENSG00000122863.6","CHST3","LOW Post - Pre"
"7627",505.324998436181,-0.0574044784024368,0.0505354918844061,-1.13592400631506,0.255988370274327,0.556924720645473," ENSG00000143379.13","SETDB1","LOW Post - Pre"
"7628",258.269642172085,-0.0940513618996727,0.0828065570213065,-1.13579606836537,0.25604192290995,0.556959117980858," ENSG00000239306.5","RBM14","LOW Post - Pre"
"7629",401.098187477217,0.178020266061913,0.156828152093575,1.1351295267172,0.256321051730023,0.557411113513421," ENSG00000124126.14","PREX1","LOW Post - Pre"
"7630",1107.2263309542,0.100584120155725,0.0886110415183376,1.13511948886087,0.256325256915503,0.557411113513421," ENSG00000175550.8","DRAP1","LOW Post - Pre"
"7631",561.132865848416,0.338031771855526,0.297929524100288,1.13460313433636,0.256541639300799,0.557795288321371," ENSG00000257017.10","HP","LOW Post - Pre"
"7632",300.552960078097,0.104788936124317,0.0923643149041844,1.13451754861195,0.256577516915733,0.557795288321371," ENSG00000151623.15","NR3C2","LOW Post - Pre"
"7633",14.8223438042646,0.339500789584684,0.299286101132742,1.13436871374827,0.256639916925539,NA," ENSG00000281162.4","LINC01127","LOW Post - Pre"
"7634",19.6418107154007,-0.231807790423702,0.204407444059993,-1.13404769327122,0.256774542773837,0.558141394566728," ENSG00000178115.12","GOLGA8Q","LOW Post - Pre"
"7635",71.8021257824523,0.127998952838386,0.112887513218119,1.1338628089988,0.256852099643305,0.558227751757916," ENSG00000272086.2","GOLPH3-DT","LOW Post - Pre"
"7636",18.8317295886828,-0.213992850020577,0.188744520284421,-1.13376986891121,0.256891093104419,0.558230284338375," ENSG00000290947.1","ENSG00000290947","LOW Post - Pre"
"7637",8.5773250187807,-0.328858476450113,0.290070869179895,-1.13371769243799,0.256912985795836,NA," ENSG00000213121.2","ENSG00000213121","LOW Post - Pre"
"7638",8.44957470005734,-0.40194193584304,0.354740886549778,-1.13305782074443,0.257189972681681,NA," ENSG00000263961.8","RHEX","LOW Post - Pre"
"7639",552.686411137728,-0.0659689323901975,0.0582262676800477,-1.13297545967905,0.257224558997653,0.558872617362834," ENSG00000204673.11","AKT1S1","LOW Post - Pre"
"7640",53.8760688425548,0.128242625645642,0.113205204081949,1.13283330643357,0.257284261751429,0.558920042789025," ENSG00000143578.16","CREB3L4","LOW Post - Pre"
"7641",17.2496493773702,0.268521829192715,0.237077067767659,1.13263518787854,0.257367485340055,0.559004786486687," ENSG00000243696.5","ENSG00000243696","LOW Post - Pre"
"7642",159.0609055406,-0.0737738974063508,0.0651390574724054,-1.13256009940892,0.257399032606698,0.559004786486687," ENSG00000167977.9","KCTD5","LOW Post - Pre"
"7643",304.802708067969,0.0788494708026926,0.069633791627676,1.13234492851246,0.257489448212163,0.559118862164051," ENSG00000197608.12","ZNF841","LOW Post - Pre"
"7644",10.0412892407898,-0.274170874750814,0.242158181461641,-1.13219744671003,0.257551433336197,NA," ENSG00000280295.1","ENSG00000280295","LOW Post - Pre"
"7645",448.047312802429,0.0533778271036388,0.0471570874960788,1.1319152631739,0.257670061099307,0.559428732035084," ENSG00000092330.19","TINF2","LOW Post - Pre"
"7646",1168.55752302369,0.054339913813808,0.0480132653822482,1.13176875976236,0.25773166493851,0.559480167622476," ENSG00000067334.14","DNTTIP2","LOW Post - Pre"
"7647",137.350458482276,0.0866684948532668,0.0766083886764945,1.13131859774854,0.257921019387452,0.559793275992581," ENSG00000148057.16","IDNK","LOW Post - Pre"
"7648",17.2834888374511,0.237663931899964,0.210097562860151,1.13120746697172,0.257967779862724,0.559793275992581," ENSG00000278291.1","ENSG00000278291","LOW Post - Pre"
"7649",65.4924504925576,0.187664641226532,0.165913338316148,1.13110038729338,0.258012841319258,0.559793275992581," ENSG00000229920.2","RPS4XP5","LOW Post - Pre"
"7650",589.883086924456,0.140127633428319,0.123889966781731,1.1310652272205,0.258027638632617,0.559793275992581," ENSG00000118495.21","PLAGL1","LOW Post - Pre"
"7651",370.797762701809,0.0651991140719212,0.0576642307944052,1.13066823529444,0.258194755740317,0.559976601985442," ENSG00000198863.8","RUNDC1","LOW Post - Pre"
"7652",376.301256167232,-0.0689384643557679,0.0609718147601173,-1.13066118545091,0.258197724109557,0.559976601985442," ENSG00000101158.15","NELFCD","LOW Post - Pre"
"7653",85.130486743035,-0.123413351592699,0.109194951825796,-1.13021114556272,0.258387264455049,0.559976601985442," ENSG00000181929.13","PRKAG1","LOW Post - Pre"
"7654",41.5038050400699,-0.147589845805865,0.130594818902461,-1.13013553712339,0.258419117426251,0.559976601985442," ENSG00000171840.13","NINJ2","LOW Post - Pre"
"7655",526.236922305964,0.086796633804143,0.0768100239048941,1.13001701329522,0.258469055637966,0.559976601985442," ENSG00000176386.9","CDC26","LOW Post - Pre"
"7656",210.132917157264,-0.0725893592115445,0.0642396171743863,-1.12997807901769,0.258485461462945,0.559976601985442," ENSG00000224086.6","PPM1F-AS1","LOW Post - Pre"
"7657",88.4230418276516,0.125947485373696,0.111471348228309,1.12986419717233,0.258533452258105,0.559976601985442," ENSG00000170619.10","COMMD5","LOW Post - Pre"
"7658",323.870705213872,0.124368237153265,0.110074833484937,1.1298516946681,0.25853872129778,0.559976601985442," ENSG00000241743.4","XACT","LOW Post - Pre"
"7659",73.9843316044533,0.15189282613532,0.134436854230052,1.12984513811516,0.258541484512966,0.559976601985442," ENSG00000255874.4","PRECSIT","LOW Post - Pre"
"7660",17.7580555253453,0.276417532659075,0.244657956377859,1.1298121538797,0.2585553858079,0.559976601985442," ENSG00000151490.15","PTPRO","LOW Post - Pre"
"7661",142.763818087337,-0.0850616358624538,0.0752905087954137,-1.12977900167458,0.258569358416122,0.559976601985442," ENSG00000137513.11","NARS2","LOW Post - Pre"
"7662",170.934051402396,-0.148692420983774,0.131619468296683,-1.12971449366903,0.258596548004605,0.559976601985442," ENSG00000136925.15","TSTD2","LOW Post - Pre"
"7663",21.3860375318205,-0.212848235373368,0.188412393721098,-1.12969338783754,0.258605444367472,0.559976601985442," ENSG00000110628.16","SLC22A18","LOW Post - Pre"
"7664",3570.42170586153,0.0638725318030204,0.0565507137798217,1.12947348554619,0.258698148457724,0.560095155045575," ENSG00000131069.20","ACSS2","LOW Post - Pre"
"7665",159.68082315511,0.0812339144180926,0.0719547873899449,1.12895774367119,0.258915659821485,0.56038802563033," ENSG00000156958.15","GALK2","LOW Post - Pre"
"7666",220.077151167952,0.0739917747998812,0.0655403456592772,1.12895002392176,0.258918916546581,0.56038802563033," ENSG00000130165.11","ELOF1","LOW Post - Pre"
"7667",851.845606761653,-0.0555699049351054,0.0492282834922289,-1.12882068991655,0.258973482810717,0.56038802563033," ENSG00000156599.11","ZDHHC5","LOW Post - Pre"
"7668",425.371006880009,-0.0615024669832529,0.054485177131367,-1.12879264088592,0.258985317801644,0.56038802563033," ENSG00000167196.14","FBXO22","LOW Post - Pre"
"7669",6.23427294463422,-0.369729720059842,0.327586124334112,-1.12864890358649,0.259045972110698,NA," ENSG00000234329.1","RPL7AP16","LOW Post - Pre"
"7670",146.802832871819,0.33902113296588,0.300448480321915,1.12838358377661,0.259157957691492,0.560679369836291," ENSG00000168071.22","CCDC88B","LOW Post - Pre"
"7671",8.31619205711098,0.350458438511154,0.310605398840877,1.12830762059836,0.259190026231088,NA," ENSG00000132749.11","TESMIN","LOW Post - Pre"
"7672",404.29666725682,0.0697241548118301,0.0618126849762663,1.12799104000419,0.259323703177813,0.560955715009526," ENSG00000129055.13","ANAPC13","LOW Post - Pre"
"7673",128.925167102838,-0.0963389228972217,0.0854367077177965,-1.12760575015877,0.259486457190344,0.561095612686479," ENSG00000280798.1","LINC00294","LOW Post - Pre"
"7674",563.982604286968,-0.126323097168793,0.112030354817648,-1.12757919382125,0.259497677715186,0.561095612686479," ENSG00000168874.13","ATOH8","LOW Post - Pre"
"7675",1173.61877094684,-0.0534154245982956,0.0473730364904913,-1.12754909871604,0.259510393838447,0.561095612686479," ENSG00000090372.15","STRN4","LOW Post - Pre"
"7676",1001.39926896232,0.0392553015869588,0.0348169134583646,1.12747793206603,0.259540465690717,0.561095612686479," ENSG00000122692.9","SMU1","LOW Post - Pre"
"7677",10.1386518570588,0.275879074460028,0.244706262530778,1.12738869699066,0.259578175863457,NA," ENSG00000289523.1","ENSG00000289523","LOW Post - Pre"
"7678",97.5484225644345,0.146269976182811,0.12975734930436,1.12725773890247,0.259633524784366,0.561198052020512," ENSG00000285796.1","ENSG00000285796","LOW Post - Pre"
"7679",18.9211809117468,0.257597559436947,0.228544202629945,1.1271235781642,0.259690235766344,0.561198052020512," ENSG00000181284.3","TMEM102","LOW Post - Pre"
"7680",568.776662992767,0.100140472995466,0.0888482277803765,1.12709589709547,0.259701937876809,0.561198052020512," ENSG00000140836.17","ZFHX3","LOW Post - Pre"
