Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
11303010401,0.0289280942376791,0.0316017528992759,0.0243058609838988,0.109959469366978,0.0466167526153809,0.0327960277263291,0,0,0.000666197485771052,0,0.0833945780489632,0,0.252624742444432,0,0,0,0,0.0200831823119616,0,0,0,0.36902334187933,0,0.584205379028868,0.813262242049048
11226050401,0.029526477551979,0.0141092149771905,0.00741057658407556,0.127427570400339,0.0606998809420591,0.0661033042483738,0,0,0.0222664432622483,0,0.0319906597384799,0.0283269708729363,0.152461848070215,0,0,0,0,0.00218624469441136,0.0377092349006987,0,0,0.419781573756994,0,0.572765636828936,0.823694146819568
11240010401,0.0402379458317349,0,0.00543672197551301,0.0797942266897194,0.0805828543425028,0.0751753016937348,0,0,0,0,0.126323942415365,0,0.20385684460496,0,0,0,0,0.0046873022036689,0.0268893193426176,0,0,0.357015540900183,0,0.646118748730135,0.764257215506993
11181020401,0.0124706457781464,0.0176372609853834,0.0113153847279467,0.094034498580478,0.0608418402720872,0,0,0,0.0312841854060934,0,0.0909570086581862,0.034397227661269,0.135216890007289,0.0107689954182537,0,0,0,0,0.0560263343287747,0,0,0.445049728176092,0,0.545987692528957,0.847403410954443
11204050401,0.0582161038021276,0,0.00768896540711588,0.0234060605608291,0.0680057141997584,0.0343898550498407,0.0200891137991137,0,0.0111934726185198,0,0.0687574202580192,0,0.102407269195846,0.00613699833075377,0.00046586144672614,0,0,0,0,0,0,0.599243165331349,0,0.632901462907343,0.796154965461073
11268010401,0,0.0186322108205135,0.00386941794862728,0.0629537770552219,0.0184217938578621,0.105448922420159,0,0,0,0,0.0729793615142793,0.00670852740854502,0.172635586939301,0,0,0,0,0.000467732248990345,0.0351450041752712,0,0,0.502737665611229,0,0.585672083179241,0.825000381844644
11235050401,0.0463945356621327,0.00986430460803307,0.0201880938739646,0.082876297683622,0.088902621016818,0.0939447956603679,0.00334010690068086,0,0.00173694317945421,0,0.0983158344298823,0,0.138895317482491,0.00458039570045198,0,0,0,0,0,0,0,0.410960753802101,0,0.590311537950667,0.809328746287712
11313050401,0.0325884041990159,0.00835679897492231,0.00810632550637367,0.0183292709111319,0.0547070595265379,0.020772042588374,0,0,0.0203371987741248,0,0.0605416337703172,0,0.184074352978859,0.0639706178183567,0,0,0,0,0.00318117120445003,0,0,0.525035123747537,0,0.667107470939092,0.753107640755181
11176060401,0.0295934414754649,0,0.00827606345268914,0.0231223329394355,0.0483550359777944,0.0667057731165659,0,0,0,0,0.0645460582721748,0,0.206521878542503,0.0170893319468668,0,0,0,0.000563104836239816,0.0298172334381324,0,0,0.505409746002133,0,0.604775337623548,0.810179558398162
11239010401,0.0550825920730967,0,0.00684545046519731,0.0975955905184951,0.057361579778841,0.0136208178481982,0,0,0.0163691743748237,0,0.0355573958570434,0.0411914693854187,0.15951076240255,0.0269029033184739,0,0,0,0,0.0545912495511704,0,0,0.435371014426692,0,0.569016056252135,0.828161845246596
11364050401,0.0665723697359651,0,0.00228525600936265,0.0604784901961233,0.0685947353647194,0.0476023154381444,0,0,0.00775050589965489,0,0.0356392656927488,0.00580163533479582,0.116102534500769,0,0,0,0,3.32156872876688e-05,0.0235123518376659,0,0,0.565627324302763,0,0.614566044368435,0.807311144999673
